# BEAST v10.5.0
# Generated Thu Jan 29 15:27:36 GMT 2026 [seed=1769700455800]
# 2344b_global_n8_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N8_2019_R7_Africa)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-489107.0799052829	-448670.5463202576	-40436.53358502529	4.910027680030533	2017.251616155586	27.55798866408099	3.285095155010961	2018.8765486806053	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	0.001	1.0	1.0000000000000008E-6	2.33556048412568E-15	0.9946236559139786	-40436.53358502529	0.0	-93.37365009659459
10000	-7231.567389059299	-276.34881422363287	-6955.218574835666	20.432457189319372	2001.729186646297	184.69238118653067	8.139259614566999	2014.0223842210494	17.816948988139295	6.72771954783509	6.058040588541117	0.3056151051612005	0.18230949328097357	0.24215203384041248	0.2699233677174136	0.15365371290115643	1.7214298500107124	0.27463208765498803	0.7253679123450114	0.41194813148248205	2.1761037370350342	0.01256948362001103	11.022580321638873	0.0034746421804441948	0.3749025491116137	0.20067049902765555	-6955.218574835666	0.0	-373.68110491367634
20000	-6818.897369713081	-216.41918144593797	-6602.478188267143	28.603628504290473	1993.5580153313258	173.99670686479197	5.6307045550072345	2016.5309392806091	14.577885721712514	6.160176440588923	9.198813470929897	0.32033912456261154	0.17525652705803793	0.23853552014513746	0.2658688282342131	0.22045741572734817	2.4524971835716185	0.2980771783006886	0.7019228216993111	0.4471157674510329	2.1057684650979334	0.008682155054353984	5.631090154553056	0.0035650405380296206	0.25266898466837134	0.07273549105541134	-6602.478188267143	0.0	-345.75418529958614
30000	-6775.987196331676	-168.95769643234246	-6607.029499899334	26.839823035168756	1995.3218208004475	144.8194613680932	4.3731393958291696	2017.7885044397872	11.013068967374712	7.014042449704652	8.237015221733467	0.3021893790582492	0.1939162177658719	0.2547057105623606	0.24918869261351861	0.16242232120863476	1.9466126000275867	0.35818355279649267	0.6418164472035065	0.537275329194739	1.9254493416105194	0.012460039915286143	6.5569839208608505	0.004297633411833935	0.24731530785544648	0.013104087966475955	-6607.029499899334	0.0	-314.4306642440038
40000	-6754.994670359992	-163.41294280981927	-6591.581727550172	24.48276140263282	1997.6788824329835	121.30813910429094	4.169708946749937	2017.9919348888664	6.564435236394876	6.083153225449532	9.04607863149113	0.3091592176841442	0.1810051616243081	0.2561855997603308	0.2536500209312174	0.17887423059298882	2.6833066630290126	0.28876368843580685	0.7112363115641921	0.43314553265371025	2.133708934692576	0.012448918036312774	5.013152119037014	0.005088298649100458	0.2736912610729018	-0.130376940280496	-6591.581727550172	0.0	-284.8676054842666
50000	-6723.722553565163	-127.67579151946836	-6596.046762045695	20.634270352571427	2001.527373483045	107.08282986075311	3.8245526355916786	2018.3370912000246	6.308630776830565	7.780898814007745	10.411118735819123	0.3027286325592475	0.1781074686139216	0.2658387961727126	0.253325102654119	0.1262671864497607	2.131850477396348	0.3012145824836311	0.6987854175163687	0.45182187372544663	2.096356252549106	0.011888869277162744	3.5619244244818673	0.0065400099177392755	0.22271999735123407	0.02006166377228897	-6596.046762045695	0.0	-272.99838010693355
60000	-6719.486237399371	-119.38717954029596	-6600.099057859075	17.51375485906036	2004.647888976556	95.65858638016307	3.482763761607877	2018.6788800740085	5.054323623384222	6.356935054079179	7.8982722668122625	0.3023831788387341	0.1806992042052338	0.24213102035585257	0.27478659660018045	0.16897829377856557	1.764818234586132	0.32354558632399816	0.6764544136760016	0.4853183794859972	2.0293632410280047	0.017963761111852557	7.066492262243556	0.005881729904593792	0.2561206248849875	-0.0604419039996064	-6600.099057859075	0.0	-265.22490008975694
70000	-6710.9726648313335	-137.106431759417	-6573.866233071916	17.482529152732468	2004.679114682884	94.33503501124446	3.419420957467912	2018.7422228781484	5.51411495853339	8.659497057231263	6.860778287938465	0.3347359572334795	0.16644925008630854	0.24429646392328075	0.2545183287569321	0.1428116594991915	1.7629767302739066	0.2964949411687058	0.7035050588312952	0.4447424117530587	2.1105151764938856	0.02294071842754787	8.673940679244623	0.006392873158455423	0.3423705219913208	0.05103458482387796	-6573.866233071916	0.0	-259.5841589093422
80000	-6733.967957743836	-156.6013250179423	-6577.366632725894	19.854467662559273	2002.307176173057	102.88211996600333	3.329160229578396	2018.832483606038	6.462925937162486	8.882553619591274	7.809001187176199	0.3120450732889278	0.17023328670265095	0.26241767789248294	0.25530396211593914	0.18223816005654342	2.092828361933409	0.31124212533425083	0.6887578746657494	0.4668631880013763	2.0662736239972483	0.025855494985140854	10.136471742647732	0.006188323990387107	0.36094934498442216	0.03160181531577936	-6577.366632725894	0.0	-267.2093935165565
90000	-6703.995789369007	-123.51693043209985	-6580.478858936907	15.760203988296347	2006.40143984732	89.70910883152463	3.3547356181455004	2018.806908217471	5.564395155683458	8.861353932650035	9.555997481544791	0.31429695160921706	0.19086010391489994	0.23098330900702724	0.2638596354688565	0.16921403751731195	3.1516640596853165	0.3377213885092953	0.6622786114907049	0.5065820827639429	1.9868358344721146	0.020117093446155757	7.408389604626932	0.006500351489170251	0.3006387212759189	-0.11289962491202511	-6580.478858936907	0.0	-257.6192826980246
