# BEAST v10.5.0
# Generated Fri Jan 23 12:23:27 GMT 2026 [seed=1769171006930]
# -overwrite 2344b_global_np_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N1_2020_R1_Europe)	tmrca(H5N1_2021_R1_Europe)	tmrca(H5N1_2021_R3_Europe)	tmrca(H5N1_2021_R8_Europe)	tmrca(H5N1_2022_R10_NAmerica)	tmrca(H5N1_2022_R12_Europe)	tmrca(H5N1_2022_R32_Asia)	tmrca(H5N1_2022_R6_NAmerica)	tmrca(H5N1_2022_R7_NAmerica)	tmrca(H5N5_2021_R5_Europe)	tmrca(H5N8_2019_R7_Africa)	age(H5N1_2020_R1_Europe)	age(H5N1_2021_R1_Europe)	age(H5N1_2021_R3_Europe)	age(H5N1_2021_R8_Europe)	age(H5N1_2022_R10_NAmerica)	age(H5N1_2022_R12_Europe)	age(H5N1_2022_R32_Asia)	age(H5N1_2022_R6_NAmerica)	age(H5N1_2022_R7_NAmerica)	age(H5N5_2021_R5_Europe)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-3669360.818874062	-2997465.0558539443	-671895.763020118	8.091075881731182	2016.1247711128042	82.00893078399159	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	4.5576170013786	5.671105789090694	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2019.658229993157	2018.5447412054448	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	0.001	1.0	9.999999999999976E-7	5.296064646143144E-15	0.9992025518341308	-671895.763020118	0.0	-622.0985992588821
10000	-3079409.469313645	-3000731.8862737278	-78677.58303991723	12.036509314104055	2012.1793376804314	909.843704777526	12.036509314104055	12.036509314104055	12.036509314104055	7.824411173099053	9.6962529894215	12.036509314104055	12.036509314104055	12.036509314104055	12.036509314104055	12.036509314104055	12.036509314104055	2012.1793376804314	2012.1793376804314	2012.1793376804314	2016.3914358214365	2014.519594005114	2012.1793376804314	2012.1793376804314	2012.1793376804314	2012.1793376804314	2012.1793376804314	2012.1793376804314	48.28043174164524	4.251598258590338	4.879706159061981	0.2597112068843858	0.25265344968055203	0.24381526155440578	0.24382008188065638	0.19571707871333696	0.28949635368374493	0.3780834589966334	0.6219165410033665	0.5671251884949502	1.8657496230100994	0.037717657771898144	0.15460072990016768	0.011102063521581971	2.969977134216308E-15	0.9992025518341306	-78677.58303991723	0.0	-3850.2771641095887
20000	-3057642.3306607595	-3000569.8058395092	-57072.52482125003	13.540900474655478	2010.67494651988	1056.1066456822657	9.384960370523832	9.384960370523832	8.311534322265762	6.111892834272451	13.437897609237805	13.540900474655478	10.507859444728345	13.540900474655478	13.540900474655478	9.384960370523832	8.512436696154634	2014.8308866240116	2014.8308866240116	2015.9043126722697	2018.1039541602631	2010.7779493852977	2010.67494651988	2013.707987549807	2010.67494651988	2010.67494651988	2014.8308866240116	2015.7034102983807	128.3159965282588	5.045172158713153	11.199950354158657	0.2760196071459195	0.24338218523954008	0.23655036563674764	0.24404784197779283	0.13959801236018318	0.5275201065668726	0.41100403109350103	0.5889959689064991	0.6165060466402515	1.7669879067194971	0.030143209666411735	0.15912941667863537	0.008561057993702591	4.054205600580522E-15	0.999202551834131	-57072.52482125003	0.0	-3687.8488974037637
30000	-3045335.9827787774	-3000678.4079606454	-44657.57481813195	20.410259130889973	2003.8055878636455	1229.7332063938688	8.366109287699233	8.366109287699233	7.6460018815756605	8.366109287699233	15.638666610153422	20.410259130889973	13.577827440008942	15.638666610153422	9.870087076678516	8.366109287699233	13.577827440008942	2015.8497377068363	2015.8497377068363	2016.56984511296	2015.8497377068363	2008.577180384382	2003.8055878636455	2010.6380195545266	2008.577180384382	2014.3457599178569	2015.8497377068363	2010.6380195545266	156.0349498337259	4.945636326458734	11.648143338206946	0.28228239155928525	0.23704824028759638	0.224477013900313	0.2561923542528054	0.13252049100749122	0.9304426696338568	0.31597920826100595	0.6840207917389941	0.4739688123915089	2.052062375216982	0.025825640617599312	0.1989090785231479	0.0053633508022125215	1.8928790945045E-14	0.9992025518341309	-44657.57481813195	0.0	-3795.578036910354
40000	-3037471.9640167817	-3000679.6064512464	-36792.35756553534	30.848801303551916	1993.3670456909836	1288.7967579680449	8.53256432325605	8.53256432325605	6.902981144346686	8.53256432325605	10.021923973428859	30.848801303551916	15.920269143037391	9.093044862937331	7.3223353543029095	6.971393411258453	14.731144207132798	2015.6832826712794	2015.6832826712794	2017.3128658501887	2015.6832826712794	2014.1939230211067	1993.3670456909836	2008.2955778514981	2015.122802131598	2016.8935116402326	2017.244453583277	2009.4847027874027	155.10446147976012	6.185048403523543	12.848121823252578	0.2939585075952554	0.22076614258133323	0.22405114744270338	0.261224202380708	0.13388805939714182	1.0564380015830068	0.29529634149741063	0.7047036585025894	0.442944512246116	2.114110975507768	0.023454266010880496	0.22885890202018733	0.0038532188126846416	1.7790028189585654E-14	0.9992025518341306	-36792.35756553534	0.0	-3797.5835034372176
50000	-3031827.68450354	-3000646.846338317	-31180.838165223035	31.8248080257664	1992.391038968769	1304.0908658844628	8.762940997895601	8.762940997895601	7.065311821359538	8.762940997895601	8.93464525143881	24.124530225248755	14.936442111070747	8.93464525143881	7.900404826141557	6.888082742474163	31.8248080257664	2015.4529059966399	2015.4529059966399	2017.150535173176	2015.4529059966399	2015.2812017430967	2000.0913167692868	2009.2794048834646	2015.2812017430967	2016.315442168394	2017.3277642520613	1992.391038968769	157.90462142023006	6.005181737463426	13.561004528009974	0.3206213055920905	0.20347673529699964	0.22421555979914945	0.25168639931176046	0.1405895492215746	1.0211685767239584	0.2663321323114936	0.7336678676885066	0.39949819846724044	2.20100360306552	0.018327173390462616	0.24177014688285609	0.0027227368826432084	7.329854917152142E-15	0.9992025518341308	-31180.838165223035	0.0	-3771.239804010919
60000	-3028918.348463426	-3000605.6165359113	-28312.731927514513	37.216397059468996	1986.9994499350664	1285.1047728295318	9.078135842632374	9.078135842632374	8.204303979853774	9.078135842632374	7.977348892236314	21.392966526885136	14.02818757784597	8.812598626767969	4.214459772231653	6.178887945884982	30.787231888382188	2015.1377111519032	2015.1377111519032	2016.0115430146816	2015.1377111519032	2016.2384981022992	2002.8228804676503	2010.1876594166895	2015.4032483677674	2020.0013872223037	2018.0369590486505	1993.4286151061533	136.21932075012558	7.200196604042653	13.213776998776712	0.33163134429965857	0.20874411376516894	0.21725758299247988	0.24236695894269278	0.1379554289560254	1.300617285421554	0.23545096665672005	0.7645490333432803	0.3531764499850801	2.293647100029841	0.016845909575340202	0.23594353069422228	0.0026188273928431285	3.4790097113508606E-15	0.9992025518341306	-28312.731927514513	0.0	-3731.6861219564425
70000	-3026870.1021756963	-3000573.565784267	-26296.536391429257	44.244679594722484	1979.9711673998129	1314.8256694751078	9.285465268633063	9.285465268633063	8.194433085480684	9.285465268633063	4.0250638113736485	16.59847659994231	13.469129573688445	8.327099927175716	3.2149758807077298	4.314680881808632	19.214713032285815	2014.9303817259024	2014.9303817259024	2016.0214139090547	2014.9303817259024	2020.1907831831618	2007.617370394593	2010.746717420847	2015.8887470673596	2021.0008711138278	2019.9011661127267	2005.0011339622497	129.29174844412927	6.262310279038716	14.882432314020464	0.3423683777396429	0.19423515417362325	0.22136354288451637	0.24203292520221767	0.14903434974541843	1.2181396568464513	0.2711022464213987	0.7288977535786015	0.406653369632098	2.1866932607358045	0.014322513868878424	0.23520858609039155	0.0022393325604469017	1.0074603665711718E-14	0.9992025518341309	-26296.536391429257	0.0	-3702.724227790862
80000	-3025715.1234105	-3000505.357208018	-25209.766202481813	47.290951278257126	1976.9248957162783	1288.9920509063927	9.773241803965465	9.773241803965465	8.289661706227546	9.773241803965465	3.7791727396596406	15.786244554173772	8.140644914095489	8.147939057982615	3.11032360985528	3.582551046237888	22.062584239753086	2014.44260519057	2014.44260519057	2015.926185288308	2014.44260519057	2020.436674254876	2008.4296024403618	2016.07520208044	2016.067907936553	2021.1055233846803	2020.6332959482975	2002.1532627547824	109.18194765700976	8.259003999048788	14.600886333436852	0.33721042148537345	0.20283888096111494	0.21774133793826486	0.24220935961524695	0.14668888678643557	1.2163668209923244	0.22847452414506753	0.7715254758549329	0.3427117862176013	2.314576427564799	0.013313983121790753	0.2379382127876274	0.0020378523939836996	1.767048988371779E-14	0.9992025518341306	-25209.766202481813	0.0	-3635.997414743448
90000	-3025287.2544706976	-3000477.093822728	-24810.160647969642	47.97385985726363	1976.2419871372717	1280.221705157038	10.487964773593555	10.487964773593555	8.561289265893798	10.487964773593555	3.6154911190227783	12.514816705981	6.757826445528329	7.958944789293491	3.381158534624033	4.272245277790433	17.298273576391182	2013.7278822209419	2013.7278822209419	2015.6545577286417	2013.7278822209419	2020.6003558755126	2011.7010302885544	2017.4580205490072	2016.2569022052419	2020.8346884599114	2019.943601716745	2006.9175734181442	116.7252305010725	6.77430229258346	14.811233577548803	0.35120599952664017	0.21164674264560715	0.21237020549994892	0.22477705232780387	0.15362038730486452	1.4695352018623353	0.21227381034026202	0.7877261896597383	0.318410715510393	2.363178568979215	0.012018115084016167	0.22414807357754213	0.0020483735713854195	1.8638747699541017E-14	0.9992025518341306	-24810.160647969642	0.0	-3609.273675593938
