# BEAST v10.5.0
# Generated Mon Jan 26 09:57:38 GMT 2026 [seed=1769421457911]
# -beagle_instances 2 2344b_global_ns_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N1_2020_R1_Europe)	tmrca(H5N1_2021_R1_Europe)	tmrca(H5N1_2021_R3_Europe)	tmrca(H5N1_2021_R8_Europe)	tmrca(H5N1_2022_R10_NAmerica)	tmrca(H5N1_2022_R12_Europe)	tmrca(H5N1_2022_R32_Asia)	tmrca(H5N1_2022_R6_NAmerica)	tmrca(H5N1_2022_R7_NAmerica)	tmrca(H5N5_2021_R5_Europe)	tmrca(H5N8_2019_R7_Africa)	age(H5N1_2020_R1_Europe)	age(H5N1_2021_R1_Europe)	age(H5N1_2021_R3_Europe)	age(H5N1_2021_R8_Europe)	age(H5N1_2022_R10_NAmerica)	age(H5N1_2022_R12_Europe)	age(H5N1_2022_R32_Asia)	age(H5N1_2022_R6_NAmerica)	age(H5N1_2022_R7_NAmerica)	age(H5N5_2021_R5_Europe)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-3407508.3208374777	-2997460.641644189	-410047.67919328867	6.327837518756599	2017.888009475779	77.7260855045666	5.736534102090224	3.8486771701342213	5.736534102090224	3.8486771701342213	5.736534102090224	5.736534102090224	3.8486771701342213	5.736534102090224	3.8486771701342213	5.736534102090224	5.736534102090224	2018.4793128924453	2020.3671698244013	2018.4793128924453	2020.3671698244013	2018.4793128924453	2018.4793128924453	2020.3671698244013	2018.4793128924453	2020.3671698244013	2018.4793128924453	2018.4793128924453	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	0.001	1.0	1.0000000000000008E-6	5.296064646143144E-15	0.9992025518341308	-410047.67919328867	0.0	-617.6618537328382
10000	-398608.8732457298	-344478.8331586375	-54130.04008709225	9.265189101846193	2014.9506578926894	668.4926806489771	9.265189101846193	9.265189101846193	9.265189101846193	7.668401012514641	7.668401012514641	8.324011746024606	7.668401012514641	7.668401012514641	7.668401012514641	9.265189101846193	9.265189101846193	2014.9506578926894	2014.9506578926894	2014.9506578926894	2016.547445982021	2016.547445982021	2015.891835248511	2016.547445982021	2016.547445982021	2016.547445982021	2014.9506578926894	2014.9506578926894	27.090047761675155	3.6939460067652687	5.2123601902878125	0.27239666054916317	0.2526610279255815	0.24293054755775084	0.23201176396750456	0.2785914602432112	0.46068520090123366	0.47446587388727984	0.5255341261127203	0.7116988108309198	1.576602378338161	0.023189977919341447	0.08863583559931892	0.018747937015512438	0.013165320102630529	0.05945291321583998	-54130.04008709225	0.0	-3552.7566650937933
20000	-93202.71086952454	-57001.068466684635	-36201.642402839905	13.31512965818447	2010.900717336351	730.0433147897622	13.31512965818447	7.1090793160310115	7.1090793160310115	6.026669085508214	6.026669085508214	12.897265851089333	8.356091171704454	6.026669085508214	13.31512965818447	13.31512965818447	13.31512965818447	2010.900717336351	2017.1067676785044	2017.1067676785044	2018.1891779090272	2018.1891779090272	2011.3185811434462	2015.859755822831	2018.1891779090272	2010.900717336351	2010.900717336351	2010.900717336351	64.08658482815407	4.6768395689123325	6.542673145957212	0.2896201200118462	0.23723857884813127	0.22667997493881248	0.24646132620121008	0.37599184736392605	0.6546701799814657	0.4580186702094089	0.5419813297905911	0.6870280053141133	1.6259439893717733	0.04578355057696148	1.6606409742546215	0.011176590459988837	0.18161574786581638	0.05858762818428453	-36201.642402839905	0.0	-3271.007518402946
30000	-33130.3971130001	-7638.707051073501	-25491.6900619266	15.709670346193631	2008.5061766483418	863.2411945151813	13.693094241643921	6.998254731340892	6.998254731340892	6.998254731340892	6.998254731340892	13.693094241643921	13.693094241643921	6.998254731340892	13.310495395165885	9.816879458151243	10.061276686449846	2010.5227527528916	2017.2175922631945	2017.2175922631945	2017.2175922631945	2017.2175922631945	2010.5227527528916	2010.5227527528916	2017.2175922631945	2010.9053515993696	2014.3989675363841	2014.1545703080856	82.17412585135779	6.194604109052371	7.900945240096701	0.30903583044206256	0.2319698894386151	0.21433894851856342	0.244655331600759	0.37523754948561505	0.6556996436888938	0.47166891706497655	0.5283310829350235	0.7075033755974648	1.5849932488050706	0.06449757183928481	10.860783744154357	0.008191408639897476	0.48531635095106035	0.017489165292357476	-25491.6900619266	0.0	-3401.2674898339706
40000	-24725.980302539072	-2923.4004222045023	-21802.579880334568	17.915418489917293	2006.3004285046181	925.0163258177968	14.961753261182492	8.444133709981605	5.635916899785996	5.635916899785996	5.160443193622701	14.961753261182492	14.961753261182492	5.160443193622701	16.30546556918966	14.08913155328428	9.006866011873727	2009.2540937333529	2015.771713284554	2018.5799300947494	2018.5799300947494	2019.0554038009127	2009.2540937333529	2009.2540937333529	2019.0554038009127	2007.9103814253458	2010.1267154412512	2015.2089809826618	80.09554575474895	7.153369434912372	8.554094092125178	0.32085697669258995	0.22526974541152986	0.22103909254564866	0.23283418535023157	0.3503693297050483	0.6446367145656632	0.4879362417170238	0.5120637582829763	0.7319043625755357	1.536191274848929	0.043534672134956855	20.100512255476264	0.00682236254048176	0.6619314554610768	-0.012407316405407709	-21802.579880334568	0.0	-3440.2584876874093
50000	-22482.571910299048	-2595.5144200608634	-19887.057490238185	22.68706941585121	2001.5287775786842	998.2785306252497	18.323303371774262	6.359594173537633	6.528671918377121	4.2277179837060235	4.778493087861339	17.664622039802783	18.323303371774262	4.778493087861339	18.323303371774262	12.719801298410294	7.503514895054035	2005.8925436227612	2017.8562528209977	2017.6871750761584	2019.9881290108294	2019.4373539066742	2006.5512249547328	2005.8925436227612	2019.4373539066742	2005.8925436227612	2011.496045696125	2016.7123320994815	95.95791942215165	6.541721373481445	8.732644782447421	0.3258723797510748	0.2185512969867156	0.22104865328379775	0.2345276699784118	0.32909600845825676	0.6810634666286225	0.47558094750101737	0.5244190524989828	0.7133714212515261	1.5732571574969483	0.02726457249605613	20.660191000112793	0.005057006845158541	0.5105783285987352	-0.0041534963107902586	-19887.057490238185	0.0	-3469.194852320656
60000	-21127.69894989742	-2611.0684655117907	-18516.63048438563	26.92907105027022	1997.2867759442652	1030.0273091256427	15.634693956507565	5.680698867609688	7.974813898227516	5.680698867609688	4.725164548668187	18.666996155677356	18.666996155677356	4.725164548668187	15.84721043150513	7.963400163142897	7.063369090278375	2008.5811530380279	2018.5351481269258	2016.241033096308	2018.5351481269258	2019.4906824458674	2005.548850838858	2005.548850838858	2019.4906824458674	2008.3686365630303	2016.2524468313925	2017.152477904257	95.67502012403337	6.233454955082841	8.17936429815002	0.3616895450929749	0.2040402961146773	0.22377593048041872	0.21049422831192902	0.37947976555540874	0.7749915811441138	0.47187132469434157	0.5281286753056587	0.7078069870415123	1.584386025916976	0.025068034411365077	22.33630552752864	0.004662373832157777	0.5412074323114069	0.0019127340636853152	-18516.63048438563	0.0	-3487.403250905434
70000	-20017.46798661192	-2496.6795287530203	-17520.7884578589	31.30912448122631	1992.9067225133092	1013.4249890983124	11.208900401638381	5.489370816563419	7.088615911600246	5.489370816563419	3.419838091966005	21.403665517654634	19.331719193786117	3.419838091966005	13.334319860335079	4.394749094898048	6.483231729583943	2013.006946592897	2018.726476177972	2017.1272310829352	2018.726476177972	2020.7960089025694	2002.8121814768808	2004.8841278007494	2020.7960089025694	2010.8815271342005	2019.8210978996374	2017.7326152649516	89.70625575225476	5.7661571408202565	7.8037447390764765	0.36894976359810877	0.21573820839459285	0.20113868243858646	0.21417334556871187	0.354043721997772	0.7237127785036387	0.5021808992265834	0.4978191007734167	0.753271348839875	1.49345730232025	0.021329620869941182	23.539720709578525	0.0038302339294121962	0.48397067803558835	-0.03316762159222211	-17520.7884578589	0.0	-3420.8589308858373
80000	-19354.929808549106	-2454.8147084596444	-16900.11510008946	38.36562362933046	1985.850223365205	1010.3303244611244	12.222296326097018	4.663566947271864	7.033431728144298	4.663566947271864	3.3256327644758463	22.778472921294803	19.075740432799364	3.3256327644758463	6.287681271894028	4.359205625948608	6.123417000852433	2011.9935506684385	2019.5522800472636	2017.1824152663912	2019.5522800472636	2020.8902142300597	2001.4373740732406	2005.140106561736	2020.8902142300597	2017.9281657226416	2019.856641368587	2018.092429993683	77.32346157952789	5.795406042849814	7.045946870510029	0.3764863209819807	0.2064101093860139	0.20668655418125445	0.2104170154507508	0.3515734255718747	0.693263466900827	0.5203792706025203	0.47962072939747963	0.7805689059037805	1.4388621881924388	0.020006546313342078	21.275661829293913	0.0038548496964189664	0.42786126714090716	-0.014353264436339408	-16900.11510008946	0.0	-3403.006217356636
90000	-18599.18976924263	-2387.85046454486	-16211.339304697769	35.18225952704692	1989.0335874674886	962.2281088889981	11.643291420952643	3.814926802849646	7.379555898304969	3.814926802849646	3.3546357925471026	22.05422403718514	21.61559858189232	3.3546357925471026	3.2038705478861806	4.753179172237757	8.805904892902632	2012.5725555735828	2020.4009201916858	2016.8362910962305	2020.4009201916858	2020.8612112019885	2002.1616229573503	2002.6002484126432	2020.8612112019885	2021.0119764466492	2019.4626678222978	2015.4099421016329	73.69674066631687	5.852216626092619	7.3869071428859865	0.37341551365426456	0.20440312115951983	0.19507665949834946	0.22710470568786598	0.44200237943939763	0.7655191168861665	0.5149200683223331	0.485079931677667	0.7723801024834995	1.455239795033001	0.01603158588403486	17.657299511011175	0.003447412424305695	0.38725721749662984	-0.01777545204479594	-16211.339304697769	0.0	-3331.5174983485217
