cluster_profile,cluster_label,clade,number_Conti,number_hostType,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Mammal,prop_Mammal,group
10_1_2_1_1_15_1_1,H5N2/2022/R1_Europe,2.3.4.4b,1,2,3,"Anseriformes, Galliformes","Anseriformes wild, Galliformes","Anseriformes wild - Europe, Galliformes - Europe",Europe,Anseriformes wild,Europe,0.08219178082185863,0,0,minor
10_1_2_1_1_1_1_1,H5N1/2023/R21_Europe,2.3.4.4b,1,4,28,"Galliformes, Anseriformes, Falconiformes, Mammal, Accipitriformes","Galliformes, Anseriformes wild, Avian other, Mammal","Galliformes - Europe, Anseriformes wild - Europe, Avian other - Europe, Mammal - Europe",Europe,Anseriformes wild,Europe,0.2762407365821673,1,0.03571428571428571,major
10_6_2_1_11_1_1_1,H5N1/2024/R2_Europe,2.3.4.4b,1,1,3,Charadriiformes,Charadriiformes,Charadriiformes - Europe,Europe,Charadriiformes,Europe,0.08469945355182062,0,0,minor
10_6_2_1_1_15_1_1,H5N2/2022/R3_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
10_6_2_1_1_1_1_1,H5N1/2023/R17_Europe,2.3.4.4b,1,4,117,"Anseriformes, Ciconiiformes, Galliformes, Gruiformes","Anseriformes wild, Avian other, Galliformes, Anseriformes domestic","Anseriformes wild - Europe, Avian other - Europe, Galliformes - Europe, Anseriformes domestic - Europe",Europe,Galliformes,Europe,0.9365671083164671,0,0,major
11_1_13_1_5_1_1_5,H5N1/2022/R59_Asia,2.3.4.4b,1,2,4,"environment, Galliformes","environment, Galliformes","environment - Asia, Galliformes - Asia",Asia,Galliformes,Asia,0.07945205479450124,0,0,minor
11_1_3_1_9_1_1_5,H5N1/2021/R11_Europe,2.3.4.4b,1,3,7,"Pelecaniformes, Anseriformes","Avian other, Anseriformes wild, Anseriformes domestic","Avian other - Europe, Anseriformes wild - Europe, Anseriformes domestic - Europe",Europe,Avian other,Europe,0.2575342465754602,0,0,minor
11_1_6_1_5_1_1_5,H5N1/2022/R65_Asia,2.3.4.4b,1,1,1,Gruiformes,Avian other,Avian other - Asia,Asia,Avian other,Asia,0,0,0,minor
11_1_6_1_5_1_1_6,H5N1/2022/R50_Asia,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Asia,Asia,Anseriformes wild,Asia,0,0,0,minor
11_7_1_1_6_1_1_1,H5N1/2022/R51_Asia,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Asia,Asia,Anseriformes wild,Asia,0,0,0,minor
11_7_6_1_5_1_1_1,H5N1/2023/R11_Asia,2.3.4.4b,1,2,2,"Strigiformes, Anseriformes","Avian other, Anseriformes wild","Avian other - Asia, Anseriformes wild - Asia",Asia,Avian other,Asia,0.07671232876714384,0,0,minor
11_7_6_1_5_1_1_13,H5N1/2023/R35_Asia,2.3.4.4b,1,1,2,Anseriformes,Anseriformes domestic,Anseriformes domestic - Asia,Asia,Anseriformes domestic,Asia,0,0,0,minor
11_7_6_1_5_1_1_5,H5N1/2022/R69_Asia,2.3.4.4b,1,1,2,environment,environment,environment - Asia,Asia,environment,Asia,0.002739726027357392,0,0,minor
11_7_6_1_5_1_1_6,H5N1/2022/R32_Asia,2.3.4.4b,1,7,113,"Anseriformes, Galliformes, Passeriformes, Suliformes, Charadriiformes, Gruiformes, Strigiformes, environment, Accipitriformes, Pelecaniformes, Falconiformes, Mammal","Anseriformes wild, Galliformes, Avian other, Charadriiformes, environment, Mammal, Anseriformes domestic","Anseriformes wild - Asia, Galliformes - Asia, Avian other - Asia, Charadriiformes - Asia, environment - Asia, Mammal - Asia, Anseriformes domestic - Asia",Asia,Galliformes,Asia,1.1726027397260168,2,0.017699115044247787,major
11_7_7_1_5_1_1_12,H5N1/2022/R66_Asia,2.3.4.4b,1,1,1,Gruiformes,Avian other,Avian other - Asia,Asia,Avian other,Asia,0,0,0,minor
11_9_2_1_13_1_1_1,H5N1/2023/R22_Asia,2.3.4.4b,1,1,1,environment,environment,environment - Asia,Asia,environment,Asia,0,0,0,minor
11_9_6_2_5_18_1_2,H5N2/2020/R3_Asia,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Asia,Asia,Anseriformes wild,Asia,0,0,0,minor
12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2.3.4.4b,1,4,111,"Galliformes, Accipitriformes, Anseriformes, unknown avian","Galliformes, Avian other, Anseriformes domestic, Anseriformes wild","Galliformes - Asia, Avian other - Asia, Anseriformes domestic - Asia, Anseriformes wild - Asia",Asia,Avian other,Asia,0.301077924994388,0,0,minor
13_1_2_1_1_1_1_1,H5N1/2022/R27_Europe,2.3.4.4b,1,3,6,"Galliformes, Falconiformes, Anseriformes","Galliformes, Avian other, Anseriformes wild","Galliformes - Europe, Avian other - Europe, Anseriformes wild - Europe",Europe,Galliformes,Europe,0.20547945205476026,0,0,minor
13_1_4_1_18_1_1_4,H5N1/2023/R13_Europe,2.3.4.4b,1,1,1,Falconiformes,Avian other,Avian other - Europe,Europe,Avian other,Europe,0,0,0,minor
13_1_4_1_4_1_1_4,H5N1/2023/R2_Europe,2.3.4.4b,1,5,101,"Charadriiformes, Anseriformes, Galliformes, Accipitriformes, Mammal, Falconiformes","Charadriiformes, Anseriformes domestic, Galliformes, Avian other, Mammal","Charadriiformes - Europe, Anseriformes domestic - Europe, Galliformes - Europe, Avian other - Europe, Mammal - Europe",Europe,Charadriiformes,Europe,0.8000000000001819,1,0.009900990099009901,major
14_1_12_1_6_1_1_1,H5N1/2021/R18_Asia,2.3.4.4b,1,1,1,environment,environment,environment - Asia,Asia,environment,Asia,0,0,0,minor
14_1_1_1_1_1_1_1,H5N1/2021/R2_Europe,2.3.4.4b,1,4,10,"Accipitriformes, Galliformes, Anseriformes, Strigiformes, Mammal","Avian other, Galliformes, Anseriformes wild, Mammal","Avian other - Europe, Galliformes - Europe, Anseriformes wild - Europe, Mammal - Europe",Europe,Galliformes,Europe,0.33698630136973406,1,0.1,major
14_1_1_1_9_1_1_1,H5N1/2021/R13_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
14_1_3_1_14_24_1_2,H5N5/2021/R3_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
14_1_3_1_1_1_1_1,H5N1/2022/R23_Europe,2.3.4.4b,1,5,25,"Anseriformes, Charadriiformes, Galliformes, Sphenisciformes, Gruiformes, Strigiformes","Anseriformes wild, Charadriiformes, Anseriformes domestic, Galliformes, Avian other","Anseriformes wild - Europe, Charadriiformes - Europe, Anseriformes domestic - Europe, Galliformes - Europe, Avian other - Europe",Europe,Anseriformes wild,Europe,0.3452054794520336,0,0,minor
14_2_11_2_3_17_1_15,H5N6/2019/R1_Africa,2.3.4.4b,1,1,1,Anseriformes,Anseriformes domestic,Anseriformes domestic - Africa,Africa,Anseriformes domestic,Africa,0,0,0,minor
14_2_2_2_3_17_1_2,H5N6/2019/R2_Europe,2.3.4.4b,1,1,2,Accipitriformes,Avian other,Avian other - Europe,Europe,Avian other,Europe,0.22465753424648938,0,0,minor
14_6_1_1_1_1_1_5,H5N1/2021/R7_Europe,2.3.4.4b,1,4,37,"Galliformes, Anseriformes, Pelecaniformes, Accipitriformes","Galliformes, Anseriformes domestic, Avian other, Anseriformes wild","Galliformes - Europe, Anseriformes domestic - Europe, Avian other - Europe, Anseriformes wild - Europe",Europe,Galliformes,Europe,2.169863013698432,0,0,major
15_10_19_1_7_1_1_3,H5N1/2022/R3_NAmerica,2.3.4.4b,1,2,4,"Galliformes, Anseriformes","Galliformes, Anseriformes wild","Galliformes - North America, Anseriformes wild - North America",North America,Galliformes,North America,0.00821917808229955,0,0,minor
15_10_1_1_2_1_1_3,H5N1/2022/R31_NAmerica,2.3.4.4b,1,2,2,"Galliformes, Anseriformes","Galliformes, Anseriformes domestic","Galliformes - North America, Anseriformes domestic - North America",North America,Galliformes,North America,0,0,0,minor
15_1_1_1_1_1_1_1,H5N1/2022/R30_NAmerica,2.3.4.4b,1,1,2,Galliformes,Galliformes,Galliformes - North America,North America,Galliformes,North America,0,0,0,minor
15_1_1_1_2_1_1_1,H5N1/2022/R47_NAmerica,2.3.4.4b,1,1,2,Anseriformes,Anseriformes wild,Anseriformes wild - North America,North America,Anseriformes wild,North America,0.008219178082072176,0,0,minor
15_3_1_1_2_1_1_3,H5N1/2023/R5_NAmerica,2.3.4.4b,1,2,32,"Accipitriformes, Passeriformes, Anseriformes, Falconiformes, Strigiformes","Avian other, Anseriformes wild","Avian other - North America, Anseriformes wild - North America",North America,Avian other,North America,0.2767123287671893,0,0,minor
16_17_10_1_8_6_1_8,H5N6/2021/R4_Asia,2.3.4.4b,1,1,1,Anseriformes,Anseriformes domestic,Anseriformes domestic - Asia,Asia,Anseriformes domestic,Asia,0,0,0,minor
16_8_10_1_8_6_1_8,H5N6/2021/R1_Asia,2.3.4.4b,1,4,25,"Anseriformes, Galliformes, Mammal, environment","Anseriformes domestic, Galliformes, Mammal, environment","Anseriformes domestic - Asia, Galliformes - Asia, Mammal - Asia, environment - Asia",Asia,Anseriformes domestic,Asia,1.317808219178005,1,0.04,major
17_1_1_1_1_1_1_1,H5N1/2022/R42_Africa,2.3.4.4b,1,2,13,"Galliformes, Anseriformes","Galliformes, Anseriformes domestic","Galliformes - Africa, Anseriformes domestic - Africa",Africa,Galliformes,Africa,0.16986301369865942,0,0,minor
17_1_6_1_5_2_1_10,H5N8/2021/R13_Asia,2.3.4.4b,1,1,10,Anseriformes,Anseriformes domestic,Anseriformes domestic - Asia,Asia,Anseriformes domestic,Asia,0.16712328767130202,0,0,minor
18_1_2_1_1_18_1_1,H5N2/2022/R2_Asia,2.3.4.4b,1,2,2,"Passeriformes, Galliformes","Avian other, Galliformes","Avian other - Asia, Galliformes - Asia",Asia,Avian other,Asia,0.22191780821913198,0,0,minor
18_1_2_1_1_1_1_1,H5N1/2023/R19_Europe,2.3.4.4b,1,1,7,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0.054794520548057335,0,0,minor
18_6_2_1_14_1_1_1,H5N1/2023/R15_Europe,2.3.4.4b,1,1,1,Accipitriformes,Avian other,Avian other - Europe,Europe,Avian other,Europe,0,0,0,minor
18_9_2_1_1_1_1_1,H5N1/2023/R18_Europe,2.3.4.4b,1,1,5,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0.12054794520554424,0,0,minor
19_8_11_1_8_6_1_9,H5N6/2022/R1_Asia,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Asia,Asia,Galliformes,Asia,0,0,0,minor
19_8_11_1_8_9_1_9,H5N6/2021/R2_Asia,2.3.4.4b,1,4,12,"Mammal, environment, Anseriformes, Galliformes","Mammal, environment, Anseriformes domestic, Galliformes","Mammal - Asia, environment - Asia, Anseriformes domestic - Asia, Galliformes - Asia",Asia,Mammal,Asia,0.6246575342465803,3,0.25,major
1_1_11_1_1_11_1_7,H5N4/2021/R1_Europe,2.3.4.4b,1,2,3,"Charadriiformes, Falconiformes","Charadriiformes, Avian other","Charadriiformes - Europe, Avian other - Europe",Europe,Charadriiformes,Europe,0.05753424657541473,0,0,minor
1_1_12_1_1_1_1_1,H5N1/2022/R36_Asia,2.3.4.4b,1,3,12,"Passeriformes, Mammal, Anseriformes","Avian other, Mammal, Anseriformes wild","Avian other - Asia, Mammal - Asia, Anseriformes wild - Asia",Asia,Avian other,Asia,0.3479452054796184,2,0.16666666666666666,major
1_1_12_1_1_2_1_5,H5N8/2021/R7_Europe,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0,0,0,minor
1_1_18_1_1_1_1_1,H5N1/2022/R1_Europe,2.3.4.4b,1,1,1,Charadriiformes,Charadriiformes,Charadriiformes - Europe,Europe,Charadriiformes,Europe,0,0,0,minor
1_1_18_2_5_19_1_5,H5N2/2020/R1_Europe,2.3.4.4b,1,1,2,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0.027322404371716402,0,0,minor
1_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,2.3.4.4b,4,7,132,"Anseriformes, Galliformes, Charadriiformes, Ciconiiformes, Mammal, Falconiformes, environment, Pelecaniformes, unknown avian, Accipitriformes, Podicipediformes, Suliformes","Anseriformes wild, Anseriformes domestic, Galliformes, Charadriiformes, Avian other, Mammal, environment","Anseriformes wild - Europe, Anseriformes domestic - Asia, Anseriformes wild - Asia, Galliformes - Africa, Charadriiformes - Europe, Avian other - Europe, Avian other - Africa, Galliformes - Europe, Mammal - Asia, Avian other - Asia, Galliformes - Asia, environment - Asia, Anseriformes domestic - Europe, Anseriformes wild - North America, Charadriiformes - Asia",Africa,Galliformes,"Europe, Asia, Africa, North America",2.627067894303309,2,0.015151515151515152,dominant
1_1_1_1_5_1_1_5,H5N1/2022/R64_Asia,2.3.4.4b,1,1,1,environment,environment,environment - Asia,Asia,environment,Asia,0,0,0,minor
1_1_2_1_10_1_1_5,H5N1/2021/R9_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,2.3.4.4b,1,2,13,"Charadriiformes, Accipitriformes, Falconiformes","Charadriiformes, Avian other","Charadriiformes - Europe, Avian other - Europe",Europe,Charadriiformes,Europe,0.19164608129358385,0,0,minor
1_1_2_1_11_1_1_1,H5N1/2022/R20_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
1_1_2_1_1_11_1_7,H5N4/2021/R2_Europe,2.3.4.4b,1,2,4,"Charadriiformes, Falconiformes","Charadriiformes, Avian other","Charadriiformes - Europe, Avian other - Europe",Europe,Charadriiformes,Europe,0.08767123287680079,0,0,minor
1_1_2_1_1_1_1_1,H5N1/2021/R1_Europe,2.3.4.4b,3,7,1381,"Charadriiformes, Mammal, Galliformes, Anseriformes, Pelecaniformes, Passeriformes, Falconiformes, Ciconiiformes, Accipitriformes, Suliformes, Gruiformes, unknown avian, Rheiformes, Strigiformes, Podicipediformes, environment, Phoenicopteriformes, Procellariiformes","Charadriiformes, Mammal, Galliformes, Anseriformes wild, Avian other, Anseriformes domestic, environment","Charadriiformes - Europe, Mammal - Europe, Galliformes - Europe, Anseriformes wild - Europe, Avian other - Europe, Anseriformes domestic - Europe, Anseriformes domestic - Africa, environment - Europe, environment - Africa, Anseriformes wild - Africa, Anseriformes wild - Asia",Europe,Galliformes,"Europe, Africa, Asia",2.410532225465886,59,0.042722664735698766,dominant
1_1_2_1_1_1_1_17,H5N1/2021/R17_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
1_1_2_1_1_1_1_7,H5N1/2024/R1_Europe,2.3.4.4b,1,4,90,"Anseriformes, Galliformes, Accipitriformes, Passeriformes","Anseriformes domestic, Anseriformes wild, Galliformes, Avian other","Anseriformes domestic - Europe, Anseriformes wild - Europe, Galliformes - Europe, Avian other - Europe",Europe,Anseriformes wild,Europe,1.092604236843954,0,0,major
1_1_2_1_9_1_1_1,H5N1/2022/R21_Europe,2.3.4.4b,1,1,1,Galliformes,Galliformes,Galliformes - Europe,Europe,Galliformes,Europe,0,0,0,minor
1_1_2_1_9_1_1_5,H5N1/2022/R22_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes wild,Anseriformes wild - Europe,Europe,Anseriformes wild,Europe,0,0,0,minor
1_1_3_1_1_1_1_1,H5N1/2022/R18_Europe,2.3.4.4b,1,1,1,Anseriformes,Anseriformes domestic,Anseriformes domestic - Europe,Europe,Anseriformes domestic,Europe,0,0,0,minor
1_1_3_1_9_1_1_1,H5N1/2022/R8_Europe,2.3.4.4b,1,2,2,"Galliformes, Anseriformes","Galliformes, Anseriformes domestic","Galliformes - Europe, Anseriformes domestic - Europe",Europe,Galliformes,Europe,0,0,0,minor
