data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,cluster_number,collection_regionname,host_simplifiedhost,collection_countryname,virus_subtype,prob_cluster_number,prob_collection_regionname,prob_host_simplifiedhost,prob_collection_countryname,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
mp_europe,2_1_1_1_1_16_1_2,3,729,619,0.00372173,0.001159287,0.013218069,2020.341763,0.312189456,2020.718579,0.376816041,55.02711203,52.01049057,profile0001,central asia,anseriformes-wild,russia,H5N8,1,1,0.894736842,1,1,NA,NA,NA,NA,NA,NA
mp_europe,3_2_3_1_3_2_1_2,99,727,673,0.005152462,0.001013497,0.028104634,2020.183686,0.325491077,2022.161644,1.977957807,53.84530109,47.23133294,profile0001,central asia,anseriformes-wild,russia,H5N8,1,0.934097421,0.965616046,0.99713467,1,6788.512,3042.863,777817.5,776864.3,NA,NA
mp_europe,2_1_1_1_1_4_1_1,8,734,30,0.005719557,0.000359657,0.046926686,2020.692,0.283859953,2021.265753,0.573753121,48.51850884,16.46226479,profile0001,eastern europe,anseriformes-wild,slovakia,H5N5,1,0.912413359,0.986347406,0.710144928,0.996009242,1669.932,1849.607,106397.7,206711.7,NA,NA
mp_europe,2_1_1_1_1_1_1_1,80,733,482,0.007766221,0.00034857,0.059633049,2020.650919,0.287646298,2023.021918,2.370998444,51.98619845,19.32606018,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,0.716155876,0.986502943,0.526283743,0.540186726,8312.327,4487.382,1178787,1245862,22,3
mp_europe,14_1_1_1_1_1_1_1,8,750,14,0.006916987,0.000582498,0.054431155,2021.478724,0.221445571,2022.084932,0.60620737,59.22377702,18.00340172,profile0001,northern europe,anseriformes-wild,finland,H5N1,1,0.855014499,0.517548245,0.747225277,1,2942.836,1713.095,142475.6,112569.2,NA,NA
mp_europe,1_1_1_1_1_1_1_1,10,764,451,0.006452517,0.000447861,0.061634921,2021.232361,0.239866826,2024.120219,2.887857494,54.52358796,41.42428759,profile0001,eastern europe,anseriformes-wild,russia,H5N1,1,0.752424758,0.95940406,0.95690431,1,4462.932,4656.122,814181.3,948124.9,NA,NA
mp_europe,2_1_1_1_10_1_1_1,11,789,97,0.003944153,0.002605426,0.006339522,2021.577058,0.210672789,2022.136986,0.559928104,52.51542881,22.36338197,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,0.810075686,0.992549669,0.92833491,1,6027.827,5095.641,464726.3,503527.4,NA,NA
mp_europe,14_6_1_1_1_1_1_5,19,795,91,0.005964807,NA,NA,2021.670539,0.204179279,2023.991781,2.321242301,52.06746157,16.99746654,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,0.947368421,1,1,1,5028.345,2700.475,479365.5,409633.7,NA,NA
mp_europe,10_1_2_1_1_15_1_1,2,802,35,0.006222151,NA,NA,2021.769044,0.196234738,2022.158904,0.389860118,48.59038394,8.45910904,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,0.947368421,0.947368421,1,NA,NA,NA,NA,NA,NA
mp_europe,14_1_1_1_9_1_1_1,1,807,5,0.003715386,0.001541707,0.005889066,2021.913047,0.184620783,2021.975342,0.062295434,48.62356574,10.91484501,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,1,0.684210526,1,NA,NA,NA,NA,NA,NA
mp_europe,2_6_1_1_9_1_1_1,1,832,2,0.004155781,0.000558511,0.017252368,2021.972115,0.180580919,2022.063014,0.090898923,49.35066026,8.774433618,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,0.947368421,0.947368421,1,NA,NA,NA,NA,NA,NA
mp_europe,2_1_1_1_9_1_1_1,2,796,74,0.001937824,NA,NA,2021.705415,0.201366465,2022.090411,0.384995974,51.93133502,14.92215098,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,0.947368421,1,1,1,NA,NA,NA,NA,NA,NA
mp_europe,2_1_2_1_1_1_1_1,12,764,451,0.006452517,0.000447861,0.061634921,2021.232361,0.239866826,2024.202186,2.969824707,54.52358796,41.42428759,profile0001,eastern europe,anseriformes-wild,russia,H5N1,1,0.752424758,0.95940406,0.95690431,1,1792.54,1544.623,64630.28,93544.19,NA,NA
mp_europe,11_1_3_1_9_1_1_5,5,864,6,0.008204956,0.000569305,0.076369881,2021.834932,0.191543074,2022.164384,0.329451278,51.05612648,15.13185726,profile0001,eastern europe,anseriformes-wild,czechia,H5N1,1,0.9620038,0.575842416,0.750924908,1,414.801,274.8417,663.501,479.8216,NA,NA
mp_europe,1_1_3_1_9_1_1_1,2,882,2,0.007359741,0.000335063,0.066627355,2022.047803,0.174068356,2022.106849,0.059045818,50.06399629,13.85007862,profile0001,eastern europe,anseriformes-wild,czechia,H5N1,1,0.98350165,0.815218478,0.99330067,1,862.3857,862.3857,10980.52,10980.52,NA,NA
mp_europe,1_1_2_1_1_1_1_1,97,886,328,0.005645898,0.000314357,0.053091414,2021.528336,0.216599559,2024.155738,2.627401589,52.7083479,31.45960158,profile0001,eastern europe,anseriformes-wild,russia,H5N1,1,0.650025419,0.997864769,0.964819522,1,4269.567,3039.91,606093.8,624032.9,NA,NA
mp_europe,1_1_2_1_1_1_1_7,18,906,24,0.01381404,0.000922778,0.077911517,2023.061142,0.092647768,2024.199454,1.138311171,49.89850878,15.80453383,profile0001,eastern europe,anseriformes-wild,czechia,H5N1,1,0.996277146,0.999069286,0.996277146,1,3032.044,2639.036,137513.1,185116,NA,NA
mp_europe,10_1_2_1_1_1_1_1,12,899,156,0.003717578,0.000992412,0.014138692,2022.047651,0.173525413,2024.172131,2.12447977,48.33898681,5.385233008,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,0.95,0.95,1,6181.505,5528.396,661672.9,716886,NA,NA
mp_europe,10_6_2_1_1_1_1_1,27,904,72,0.004345488,0.000832608,0.02336405,2022.739189,0.118676432,2024.153005,1.413816032,44.94752737,10.97089327,profile0001,southern europe,anseriformes-wild,czechia,H5N1,1,0.46974416,0.991768632,0.555728587,1,4320.455,2291.932,277192.9,185099.9,NA,NA
mp_europe,1_6_2_1_1_1_1_1,16,899,156,0.003717578,0.000992412,0.014138692,2022.047651,0.173525413,2024.106557,2.058906,48.33898681,5.385233008,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,0.95,0.95,1,7363.846,5552.15,403135,374392.7,NA,NA
mp_europe,1_6_2_1_1_1_1_10,8,929,11,0.00712967,0.000636477,0.058437169,2023.847931,0.029672131,2024.122951,0.275020063,54.11933604,9.785138267,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,0.625537446,0.98070193,0.516848315,1,4875.732,3932.893,289531.9,285694.5,NA,NA
mp_europe,10_6_2_1_11_1_1_1,3,935,4,0.00400031,0.000359471,0.034283418,2024.033065,0.013955115,2024.191257,0.158192321,53.24636066,8.768157828,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,0.918674699,0.993975904,0.852409639,1,3004.17,2834.159,140358,145591.3,NA,NA
mp_europe,1_1_2_1_9_1_1_5,1,941,2,0.00478559,0.000712171,0.021909009,2022.824163,0.112289043,2022.849315,0.025152048,42.50192642,15.78573543,profile0001,southern europe,anseriformes-wild,italy,H5N1,1,1,1,0.842105263,1,NA,NA,NA,NA,NA,NA
mp_europe,1_1_2_1_9_1_1_1,1,976,2,0.003848084,0.000283793,0.021703135,2022.316922,0.154046895,2022.712329,0.395406795,51.97414093,4.783301685,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
mp_europe,1_1_3_1_1_1_1_1,1,981,3,0.003804101,0.000452969,0.023361643,2022.609754,0.129828331,2022.643836,0.034081816,46.81791788,3.700661822,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,1,0.894736842,1,NA,NA,NA,NA,NA,NA
mp_europe,2_1_18_1_1_1_1_1,2,979,64,0.003486399,0.000324322,0.021573784,2022.471056,0.14024796,2023.958904,1.487848356,48.33898681,5.385233008,profile0001,western europe,anseriformes-wild,netherlands,H5N1,1,1,0.95,0.95,1,NA,NA,NA,NA,NA,NA
