key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,prob_collection_regionname,prob_host_simplifiedhost,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample
mp_2111116_12,2_1_1_1_1_16_1_2,mp,3,729,619,0.00372173,0.001159287,0.013218069,2020.341763,0.312189456,2020.718579,0.376816041,55.02711203,52.01049057,central asia,anseriformes-wild,1,0.894736842,NA,NA,NA,NA,NA,NA,#cc99a7,minor,0
mp_21111411,2_1_1_1_1_4_1_1,mp,8,734,30,0.005719557,3.59657e-4,0.046926686,2020.692,0.283859953,2021.265753,0.573753121,48.51850884,16.46226479,eastern europe,anseriformes-wild,0.912413359,0.986347406,1669.932,1849.607,106397.7,206711.7,NA,NA,#cc99bc,minor,0.228
mp_14_1111111,14_1_1_1_1_1_1_1,mp,8,750,14,0.006916987,5.82498e-4,0.054431155,2021.478724,0.221445571,2022.084932,0.60620737,59.22377702,18.00340172,northern europe,anseriformes-wild,0.855014499,0.517548245,2942.836,1713.095,142475.6,112569.2,NA,NA,#6691cc,minor,0.337
mp_211110_111,2_1_1_1_10_1_1_1,mp,11,789,97,0.003944153,0.002605426,0.006339522,2021.577058,0.210672789,2022.136986,0.559928104,52.51542881,22.36338197,western europe,anseriformes-wild,0.810075686,0.992549669,6027.827,5095.641,464726.3,503527.4,NA,NA,#cc9e99,minor,0.178
mp_14_6111115,14_6_1_1_1_1_1_5,mp,19,795,91,0.005964807,NA,NA,2021.670539,0.204179279,2023.991781,2.321242301,52.06746157,16.99746654,western europe,anseriformes-wild,0.947368421,1,5028.345,2700.475,479365.5,409633.7,NA,NA,#99ccb2,major,2.17
mp_10_121115_11,10_1_2_1_1_15_1_1,mp,2,802,35,0.006222151,NA,NA,2021.769044,0.196234738,2022.158904,0.389860118,48.59038394,8.45910904,western europe,anseriformes-wild,1,0.947368421,NA,NA,NA,NA,NA,NA,#6667cc,minor,0.082
mp_14_1119111,14_1_1_1_9_1_1_1,mp,1,807,5,0.003715386,0.001541707,0.005889066,2021.913047,0.184620783,2021.975342,0.062295434,48.62356574,10.91484501,western europe,anseriformes-wild,1,1,NA,NA,NA,NA,NA,NA,#9bcc33,minor,0
mp_26119111,2_6_1_1_9_1_1_1,mp,1,832,2,0.004155781,5.58511e-4,0.017252368,2021.972115,0.180580919,2022.063014,0.090898923,49.35066026,8.774433618,western europe,anseriformes-wild,1,0.947368421,NA,NA,NA,NA,NA,NA,#a199cc,minor,0
mp_21119111,2_1_1_1_9_1_1_1,mp,2,796,74,0.001937824,NA,NA,2021.705415,0.201366465,2022.090411,0.384995974,51.93133502,14.92215098,western europe,anseriformes-wild,0.947368421,1,NA,NA,NA,NA,NA,NA,#cc7e66,minor,0.054
mp_11_1319115,11_1_3_1_9_1_1_5,mp,5,864,6,0.008204956,5.69305e-4,0.076369881,2021.834932,0.191543074,2022.164384,0.329451278,51.05612648,15.13185726,eastern europe,anseriformes-wild,0.9620038,0.575842416,414.801,274.8417,663.501,479.8216,NA,NA,#cc3333,minor,0.257
mp_11319111,1_1_3_1_9_1_1_1,mp,2,882,2,0.007359741,3.35063e-4,0.066627355,2022.047803,0.174068356,2022.106849,0.059045818,50.06399629,13.85007862,eastern europe,anseriformes-wild,0.98350165,0.815218478,862.3857,862.3857,10980.52,10980.52,NA,NA,#af66cc,minor,0
mp_11211117,1_1_2_1_1_1_1_7,mp,18,906,24,0.01381404,9.22778e-4,0.077911517,2023.061142,0.092647768,2024.199454,1.138311171,49.89850878,15.80453383,eastern europe,anseriformes-wild,0.996277146,0.999069286,3032.044,2639.036,137513.1,185116,NA,NA,#cc999c,major,1.092
mp_10_1211111,10_1_2_1_1_1_1_1,mp,12,899,156,0.003717578,9.92412e-4,0.014138692,2022.047651,0.173525413,2024.172131,2.12447977,48.33898681,5.385233008,western europe,anseriformes-wild,1,0.95,6181.505,5528.396,661672.9,716886,NA,NA,#6671cc,minor,0.276
