data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,host_simplifiedhost,collection_regionname,prob_host_simplifiedhost,prob_collection_regionname,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
ha_21111111,2_1_1_1_1_1_1_1,741,742,741,NA,NA,NA,2020.229214,1.01651179,2024.193989,3.964775238,23.35484433,7.641075406,anseriformes-wild,western africa,0.600155538,0.950227752,9189.748,5942.775,3663218,3424690,386,34
mp_21111111,2_1_1_1_1_1_1_1,663,664,663,NA,NA,NA,2020.037648,1.025306017,2024.193989,4.156341449,34.46994975,4.960115945,anseriformes-wild,western africa,0.379402289,0.381402066,16110.16,10266.82,5681384,5791185,383,33
n1_21111111,2_1_1_1_1_1_1_1,730,731,730,NA,NA,NA,2019.413757,1.043506767,2024.20765,4.793893304,23.09007561,10.65421771,anseriformes-wild,western africa,0.38017998,0.715698256,7541.915,5316.928,2757444,3057434,388,36
np_21111111,2_1_1_1_1_1_1_1,723,724,723,NA,NA,NA,2018.846456,1.016433414,2024.20765,5.361194113,38.70238651,14.30353587,anseriformes-wild,western europe,0.233085213,0.248416843,6553.859,5100.407,2193933,2467689,398,39
ns_21111111,2_1_1_1_1_1_1_1,703,704,703,NA,NA,NA,2020.254813,1.017954247,2024.20765,3.952837521,34.40105242,5.523570548,anseriformes-wild,western europe,0.531607599,0.549938896,13351.7,8498.415,4396771,4919106,386,38
pa_21111111,2_1_1_1_1_1_1_1,742,743,742,NA,NA,NA,2019.852829,1.024971205,2024.20765,4.354821018,33.79610505,8.577290758,anseriformes-wild,western africa,0.431618709,0.454282857,2273295,5408.428,935402197,2981958,378,36
pb1_21111111,2_1_1_1_1_1_1_1,747,748,747,NA,NA,NA,2016.834016,1.046098278,2024.193989,7.35997336,37.64083997,10.08638887,anseriformes-wild,eastern europe,0.15131652,0.205310521,6897.574,4736.023,2524852,2255567,382,36
pb2_21111111,2_1_1_1_1_1_1_1,715,716,715,NA,NA,NA,2014.252957,1.031224672,2024.237705,9.984748229,33.13221242,26.27606574,anseriformes-wild,western africa,0.143428508,0.150761027,37790.27,4731.424,3973775,2345556,376,33
ha_11111111,1_1_1_1_1_1_1_1,57,58,57,NA,NA,NA,2020.251616,1.020674272,2023.109589,2.857972883,17.77805439,25.23220469,anseriformes-wild,southern africa,0.834907233,0.313298522,2602.663,2867.089,596251.3,2325405,20,1
ha_11111111A,1_1_1_1_1_1_1_1,24,25,24,NA,NA,NA,2021.145859,1.034303892,2023.109589,1.963730187,34.67048465,111.5670881,anseriformes-wild,eastern asia,0.955004999,0.983335185,2119.715,1742.368,234783.1,369025.5,11,1
ha_11211111,1_1_2_1_1_1_1_1,535,536,535,NA,NA,NA,2021.061969,1.019397572,2024.144809,3.082839522,48.46906547,15.84921961,anseriformes-wild,western europe,0.805466059,0.570492168,2919.012,2029.324,192557.4,226951.4,292,27
ha_11414114,1_1_4_1_4_1_1_4,272,273,272,NA,NA,NA,2021.931175,1.017178026,2023.775342,1.844167454,49.10741422,1.961276725,charadriiformes-wild,western europe,0.972669703,0.980113321,2896.702,2528.816,328472,375001.5,86,22
ha_16211111,1_6_2_1_1_1_1_1,27,28,27,NA,NA,NA,2016.20891,1.393670633,2024.106557,7.89764749,50.35789811,21.88121115,anseriformes-wild,western europe,0.223641818,0.33874014,789.4967,508.7158,74263.46,95377.92,15,NA
ha_21211111,2_1_2_1_1_1_1_1,14,15,14,NA,NA,NA,2020.141892,1.15969103,2024.202186,4.060294267,49.54181888,31.61804933,anseriformes-wild,western europe,0.714587268,0.763692923,1069.648,1286.726,520648.3,1252933,8,NA
ha_21611411,2_1_6_1_1_4_1_1,30,31,30,NA,NA,NA,2020.422518,1.025601914,2024.204918,3.782399838,44.94603675,32.31729914,anseriformes-wild,eastern europe,0.684923897,0.904343962,4283.169,3775.602,1203868,1863694,11,NA
ha_26116111,2_6_1_1_6_1_1_1,39,40,39,NA,NA,NA,2020.643297,1.082963288,2022.915068,2.271771408,35.41779556,114.2813946,anseriformes-wild,eastern asia,0.874125097,0.97655816,6230.492,5776.429,3874556,4792266,10,NA
ha_32313212,3_2_3_1_3_2_1_2,488,489,488,NA,NA,NA,2018.378744,1.044316833,2022.161644,3.782899834,31.50809563,39.73292515,anseriformes-wild,northern africa,0.458837907,0.802021998,6979.725,5078.529,1417646,1896256,215,3
ha_43112113,4_3_1_1_2_1_1_3,292,293,292,NA,NA,NA,2021.516242,1.031389566,2023.767123,2.250881661,46.60613209,-98.45963826,galliformes-domestic,northern america,0.762804133,1,7505.485,5310.208,2067761,2580713,145,28
ha_51112113,5_1_1_1_2_1_1_3,33,34,33,NA,NA,NA,2022.116001,1.019735956,2023.29863,1.182628964,41.48555048,-98.20940772,anseriformes-wild,northern america,0.755138318,0.999000111,7096.698,5408.358,1285370,1349960,19,NA
ha_54912111,5_4_9_1_2_1_1_1,42,43,42,NA,NA,NA,2022.144711,1.132004659,2023.30137,1.156658658,40.63156733,-86.08549839,anseriformes-wild,northern america,0.410398845,0.991001,8205.963,4383.26,1207028,931790.5,24,2
ha_71521312,7_1_5_2_1_3_1_2,72,73,72,NA,NA,NA,2019.721544,1.019744969,2020.937158,1.215614812,49.52784446,20.31707669,galliformes-domestic,eastern europe,0.685146095,0.995222753,15090.34,5955.795,1758584,2694638,31,NA
mp_11111111,1_1_1_1_1_1_1_1,50,51,50,NA,NA,NA,2020.280586,1.035885595,2024.120219,3.839632135,16.31694272,25.35168873,anseriformes-wild,southern africa,0.819575603,0.411176536,3117.294,3030.599,838521.9,2148606,19,1
mp_11111111A,1_1_1_1_1_1_1_1,24,25,24,NA,NA,NA,2021.223866,1.374149969,2023.109589,1.885722663,35.52742497,114.2289846,anseriformes-wild,eastern asia,0.760026664,0.967892456,3072.481,3295.372,550783.1,759462.1,12,1
mp_11211111,1_1_2_1_1_1_1_1,460,461,460,NA,NA,NA,2020.810992,1.031103923,2024.13388,3.322887536,52.19897966,12.00787123,anseriformes-wild,western europe,0.529052328,0.632929674,4065.895,2710.756,378950,444901.8,275,28
mp_11414114,1_1_4_1_4_1_1_4,249,250,249,NA,NA,NA,2021.609607,1.038266368,2023.761644,2.152036858,49.68064258,2.121744962,charadriiformes-wild,western europe,0.937340296,0.887679147,5324.605,3426.069,626900.6,559406.4,80,19
mp_16211111,1_6_2_1_1_1_1_1,26,27,26,NA,NA,NA,2022.707577,5.435838534,2024.106557,1.398980185,53.35265128,7.234211376,anseriformes-wild,northern europe,0.272303077,0.462948561,8067.741,3699.89,480079.8,725006.1,18,NA
mp_21211111,2_1_2_1_1_1_1_1,15,16,15,NA,NA,NA,2021.113578,1.099633574,2024.202186,3.088607393,51.45688774,13.54629253,anseriformes-wild,western europe,0.862681924,0.888567937,2134.793,2218.197,1251121,1913006,8,NA
mp_21611411,2_1_6_1_1_4_1_1,28,29,28,NA,NA,NA,2020.125148,1.034871144,2024.161202,4.036053812,44.88049019,32.42616823,anseriformes-wild,eastern europe,0.67114765,0.853238529,4177.153,3534.203,1411636,1398816,12,NA
mp_26116111,2_6_1_1_6_1_1_1,38,39,38,NA,NA,NA,2021.341924,1.034291792,2022.915068,1.573144753,37.99640549,119.6582849,anseriformes-wild,eastern asia,0.975558271,0.991112099,15584.78,12041.13,16106241,13782643,10,NA
