cluster_profile,parent_profile,height_median,parent_height_median,segments_changed,cluster_label,cluster_class,parent_class,parent_label,time_since_parent
10_1_2_1_1_15_1_1,1_1_1_1_1_1_1_1,2.228578721376957,2.4941076546788152,3,H5N2/2022/R1_Europe,2,1,H5N1/2021/R3_Europe,0.26552893330185823
10_1_2_1_1_1_1_1,1_1_2_1_1_1_1_1,0.5320055999801543,0.6591683859413511,1,H5N1/2023/R21_Europe,1,3,H5N1/2021/R1_Europe,0.1271627859611968
10_6_2_1_11_1_1_1,1_6_2_1_1_1_1_10,0.10298095511974736,0.3913456033097136,3,H5N1/2024/R2_Europe,2,2,H5N1/2023/R32_Europe,0.2883646481899662
10_6_2_1_1_15_1_1,1_1_2_1_1_1_1_1,1.3172318287297458,1.9767612007950852,3,H5N2/2022/R3_Europe,2,3,H5N1/2021/R1_Europe,0.6595293720653395
10_6_2_1_1_1_1_1,1_1_2_1_1_1_1_1,1.46330571662544,1.727391983551601,2,H5N1/2023/R17_Europe,2,3,H5N1/2021/R1_Europe,0.264086266926161
11_1_13_1_5_1_1_5,11_7_6_1_5_1_1_6,1.5553844173197957,1.638923767450077,3,H5N1/2022/R59_Asia,2,1,H5N1/2022/R32_Asia,0.08353935013028124
11_1_3_1_9_1_1_5,2_1_1_1_1_1_1_1,2.403687415316737,2.641773883726236,4,H5N1/2021/R11_Europe,2,3,H5N1/2020/R1_Europe,0.23808646840949876
11_1_6_1_5_1_1_5,11_7_6_1_5_1_1_6,1.366546897222861,1.5086059479251523,2,H5N1/2022/R65_Asia,2,1,H5N1/2022/R32_Asia,0.1420590507022914
11_1_6_1_5_1_1_6,2_6_6_1_5_1_1_6,1.2213414177708728,1.357833132044456,2,H5N1/2022/R50_Asia,2,2,H5N1/2022/R53_Asia,0.1364917142735833
11_7_1_1_6_1_1_1,2_6_1_1_6_1_1_12,1.33093045886676,1.3849678136576502,3,H5N1/2022/R51_Asia,2,2,H5N1/2022/R67_Asia,0.05403735479089011
11_7_6_1_5_1_1_1,11_7_6_1_5_1_1_6,1.109012650647628,1.1526229646674215,1,H5N1/2023/R11_Asia,2,1,H5N1/2022/R32_Asia,0.04361031401979343
11_7_6_1_5_1_1_13,11_7_6_1_5_1_1_6,0.522711280784506,1.0711770008378974,1,H5N1/2023/R35_Asia,2,1,H5N1/2022/R32_Asia,0.5484657200533913
11_7_6_1_5_1_1_5,11_7_6_1_5_1_1_6,1.3720263492775757,1.4028192291302668,1,H5N1/2022/R69_Asia,2,1,H5N1/2022/R32_Asia,0.03079287985269108
11_7_6_1_5_1_1_6,1_1_1_1_1_1_1_1,1.9074358829966247,2.143763038644744,5,H5N1/2022/R32_Asia,1,1,H5N1/2021/R3_Europe,0.23632715564811946
11_7_7_1_5_1_1_12,11_7_6_1_5_1_1_6,1.3638071711955035,1.4243065538312223,2,H5N1/2022/R66_Asia,2,1,H5N1/2022/R32_Asia,0.060499382635718746
11_9_2_1_13_1_1_1,2_1_1_1_1_1_1_1,0.3062729246200888,0.3592066412263666,4,H5N1/2023/R22_Asia,2,3,H5N1/2020/R1_Europe,0.05293371660627777
11_9_6_2_5_18_1_2,7_1_5_2_1_3_1_2,3.352459016393368,3.484148600314695,5,H5N2/2020/R3_Asia,2,1,H5N8/2019/R3_Europe,0.131689583921327
12_1_5_2_3_3_1_2,7_1_5_2_1_3_1_2,3.29781420765039,3.5782227662477526,2,H5N8/2020/R2_Asia,2,1,H5N8/2019/R3_Europe,0.2804085585973626
13_1_2_1_1_1_1_1,1_1_2_1_1_1_1_1,1.3904636055778221,1.8696406689691942,1,H5N1/2022/R27_Europe,2,3,H5N1/2021/R1_Europe,0.4791770633913721
13_1_4_1_18_1_1_4,13_1_4_1_4_1_1_4,0.5281907328392208,0.5745474949260423,1,H5N1/2023/R13_Europe,2,2,H5N1/2023/R2_Europe,0.04635676208682149
13_1_4_1_4_1_1_4,1_1_4_1_4_1_1_4,1.335216085773789,1.622517430649863,1,H5N1/2023/R2_Europe,2,3,H5N1/2022/R12_Europe,0.28730134487607417
14_1_12_1_6_1_1_1,2_6_1_1_6_1_1_1,2.3882442897574974,2.757856976862118,3,H5N1/2021/R18_Asia,2,1,H5N1/2021/R4_Asia,0.3696126871046208
14_1_1_1_1_1_1_1,2_1_1_1_1_1_1_1,2.5471950664718084,2.7458076825064497,1,H5N1/2021/R2_Europe,2,3,H5N1/2020/R1_Europe,0.1986126160346413
14_1_1_1_9_1_1_1,2_1_1_1_1_1_1_1,2.2891792287158856,2.657361167591154,2,H5N1/2021/R13_Europe,2,3,H5N1/2020/R1_Europe,0.3681819388752685
14_1_3_1_14_24_1_2,3_2_3_1_1_2_1_2,3.125451006812,3.3875961629747477,4,H5N5/2021/R3_Europe,2,2,H5N8/2021/R2_Europe,0.2621451561627479
14_1_3_1_1_1_1_1,1_1_2_1_1_1_1_1,1.637273483348328,1.8643633437486322,2,H5N1/2022/R23_Europe,2,3,H5N1/2021/R1_Europe,0.2270898604003042
14_2_11_2_3_17_1_15,3_2_3_2_3_3_2_2,4.717231828729609,8.456293032269773,5,NA,2,NA,NA,3.739061203540164
14_2_2_2_3_17_1_2,3_2_3_2_3_3_2_2,6.199374636520955,8.139177776827097,4,H5N6/2019/R2_Europe,2,NA,NA,1.9398031403061422
14_6_1_1_1_1_1_5,2_1_1_1_1_1_1_1,2.5711674816277874,2.8174509622051294,3,H5N1/2021/R7_Europe,2,3,H5N1/2020/R1_Europe,0.24628348057734195
15_10_19_1_7_1_1_3,2_1_1_1_1_1_1_1,1.9829852533871417,2.317416424538489,5,H5N1/2022/R3_NAmerica,2,3,H5N1/2020/R1_Europe,0.33443117115134724
