name,cluster_class,importance
H5N1/2021/R3_Europe,major,5
H5N1/2021/R1_Europe,major,16
H5N1/2023/R32_Europe,minor,1
H5N1/2022/R32_Asia,moderate,17
H5N1/2020/R1_Europe,major,29
H5N1/2022/R53_Asia,minor,1
H5N1/2022/R67_Asia,minor,1
H5N8/2019/R3_Europe,moderate,9
H5N1/2023/R2_Europe,moderate,2
H5N1/2022/R12_Europe,major,3
H5N1/2021/R4_Asia,moderate,7
H5N8/2021/R2_Europe,moderate,1
H5N1/2022/R7_NAmerica,major,6
H5N1/2022/R4_NAmerica,minor,1
H5N1/2022/R45_NAmerica,minor,1
H5N8/2019/R7_Africa,major,28
H5N1/2023/R18_Europe,minor,1
H5N1/2023/R16_Europe,moderate,1
H5N4/2021/R2_Europe,minor,1
H5N8/2021/R6_Europe,minor,1
H5N8/2019/R8_Europe,minor,3
H5N1/2022/R60_Asia,minor,1
H5N5/2020/R1_Europe,minor,2
H5N1/2023/R17_Europe,minor,2
H5N1/2022/R59_Asia,minor,3
H5N1/2022/R26_Asia,minor,1
H5N8/2020/R16_Asia,minor,1
H5N6/2019/R2_Europe,minor,2
H5N1/2022/R2_NAmerica,moderate,6
H5N1/2023/R6_NAmerica,moderate,5
H5N2/2020/R2_Europe,minor,1
H5N1/2022/R39_NAmerica,minor,2
H5N8/2020/R9_Europe,minor,2
H5N1/2021/R13_Europe,minor,1
H5N1/2021/R18_Asia,minor,1
H5N6/2021/R2_Asia,moderate,1
H5N6/2021/R3_Asia,moderate,2
H5N5/2021/R2_Europe,minor,2
H5N6/2021/R10_Asia,minor,1
H5N6/2021/R11_Asia,minor,1
H5N2/2022/R5_Asia,minor,1
H5N1/2022/R6_NAmerica,moderate,3
H5N1/2022/R35_NAmerica,moderate,1
H5N1/2022/R46_NAmerica,minor,1
H5N1/2022/R29_NAmerica,moderate,2
H5N1/2023/R29_NAmerica,moderate,1
H5N1/2022/R10_NAmerica,moderate,2
H5N1/2022/R5_NAmerica,moderate,1
H5N8/2020/R13_Asia,minor,1
H5N8/2020/R14_Asia,minor,1
H5N8/2019/R1_Africa,minor,1
H5N8/2020/R15_Asia,minor,1
H5N1/2023/R33_Asia,minor,1
H5N1/2022/R64_Asia,minor,1
H5N1/2022/R63_Asia,minor,1
H5N2/2022/R1_Europe,minor,0
H5N1/2023/R21_Europe,moderate,0
H5N1/2024/R2_Europe,minor,0
H5N2/2022/R3_Europe,minor,0
H5N1/2021/R11_Europe,minor,0
H5N1/2022/R65_Asia,minor,0
H5N1/2022/R50_Asia,minor,0
H5N1/2022/R51_Asia,minor,0
H5N1/2023/R11_Asia,minor,0
H5N1/2023/R35_Asia,minor,0
H5N1/2022/R69_Asia,minor,0
H5N1/2022/R66_Asia,minor,0
H5N1/2023/R22_Asia,minor,0
H5N2/2020/R3_Asia,minor,0
H5N8/2020/R2_Asia,minor,0
H5N1/2022/R27_Europe,minor,0
H5N1/2023/R13_Europe,minor,0
H5N1/2021/R2_Europe,moderate,0
H5N5/2021/R3_Europe,minor,0
H5N1/2022/R23_Europe,minor,0
H5N1/2021/R7_Europe,moderate,0
H5N1/2022/R3_NAmerica,minor,0
H5N1/2022/R31_NAmerica,minor,0
H5N1/2022/R30_NAmerica,minor,0
H5N1/2022/R47_NAmerica,minor,0
H5N1/2023/R5_NAmerica,minor,0
H5N6/2021/R1_Asia,moderate,0
H5N1/2022/R42_Africa,minor,0
H5N8/2021/R13_Asia,minor,0
H5N2/2022/R2_Asia,minor,0
H5N1/2023/R19_Europe,minor,0
H5N1/2023/R15_Europe,minor,0
H5N6/2022/R1_Asia,minor,0
H5N4/2021/R1_Europe,minor,0
H5N1/2022/R36_Asia,moderate,0
H5N8/2021/R7_Europe,minor,0
H5N1/2022/R1_Europe,minor,0
H5N2/2020/R1_Europe,minor,0
H5N1/2021/R9_Europe,minor,0
H5N3/2021/R1_Europe,minor,0
H5N1/2022/R20_Europe,minor,0
H5N1/2021/R17_Europe,minor,0
H5N1/2024/R1_Europe,minor,0
H5N1/2022/R21_Europe,minor,0
H5N1/2022/R22_Europe,minor,0
H5N1/2022/R18_Europe,minor,0
H5N1/2022/R8_Europe,minor,0
H5N8/2021/R12_Europe,minor,0
H5N1/2022/R41_Asia,minor,0
H5N1/2023/R8_Europe,minor,0
H5N1/2022/R61_Asia,minor,0
H5N1/2023/R7_Asia,minor,0
H5N1/2022/R25_Asia,minor,0
H5N8/2020/R7_Asia,minor,0
H5N8/2020/R8_Asia,minor,0
H5N5/2020/R3_Europe,minor,0
H5N1/2022/R43_Asia,minor,0
H5N1/2022/R48_Asia,minor,0
H5N1/2022/R49_Asia,minor,0
H5N8/2020/R6_Asia,minor,0
H5N1/2023/R10_Asia,minor,0
H5N1/2022/R54_Asia,minor,0
H5N1/2022/R55_Asia,minor,0
H5N6/2023/R3_Asia,minor,0
H5N8/2022/R3_Africa,minor,0
H5N3/2019/R1_Asia,minor,0
H5N1/2021/R5_Europe,minor,0
H5N1/2021/R6_Europe,minor,0
H5N1/2022/R14_NAmerica,minor,0
H5N1/2023/R3_NAmerica,minor,0
H5N1/2023/R12_Asia,minor,0
H5N1/2021/R14_Africa,minor,0
H5N1/2022/R24_Europe,minor,0
H5N1/2021/R12_Europe,minor,0
H5N8/2020/R5_Europe,minor,0
H5N1/2021/R16_Europe,minor,0
H5N2/2021/R1_Africa,minor,0
H5N5/2024/R1_Asia,minor,0
H5N5/2021/R4_Europe,minor,0
H5N1/2022/R62_Asia,minor,0
