,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
1,10_1_13_1_1_1_1_1,H5N1/2022/R15_Europe,2.3.4.4b,23,"wild-Anseriformes, wild-Charadriiformes, domestic-Anseriformes, domestic-Galliformes, wild-Sphenisciformes, wild-Gruiformes","wild-ave, domestic-ave","wild-Anseriformes - Europe, wild-Charadriiformes - Europe, domestic-Anseriformes - Europe, domestic-Galliformes - Europe, wild-Sphenisciformes - Europe, wild-Gruiformes - Europe",Europe,wild-Anseriformes,Europe,0.236000000000104,1,2,major,#cc6966
2,10_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,2.3.4.4b,11,"wild-Accipitriformes, domestic-Galliformes, wild-Anseriformes, wild-Strigiformes, wild-Mammal","wild-ave, domestic-ave, mammal","wild-Accipitriformes - Europe, domestic-Galliformes - Europe, wild-Anseriformes - Europe, wild-Strigiformes - Europe, wild-Mammal - Europe",Europe,domestic-Galliformes,Europe,0.632945000000063,1,3,major,#cc6d33
3,10_1_1_1_1_1_1_7,H5N1/2021/R7_Europe,2.3.4.4b,36,"domestic-Galliformes, domestic-Anseriformes, wild-Pelecaniformes, wild-Anseriformes, wild-Accipitriformes","domestic-ave, wild-ave","domestic-Galliformes - Europe, domestic-Anseriformes - Europe, wild-Pelecaniformes - Europe, wild-Anseriformes - Europe, wild-Accipitriformes - Europe",Europe,domestic-Galliformes,Europe,1.30100000000016,1,2,major,#ccbe99
4,10_1_1_1_22_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#c4cc66
5,10_29_57_33_31_56_20_36,NA,EA_nonGsGD,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#dcdcdc
6,10_37_3_1_36_65_1_2,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#8bcc33
7,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,2.3.4.4h,51,"wild-Anseriformes, NA-environment, domestic-Anseriformes","wild-ave, other, domestic-ave","wild-Anseriformes - Asia, NA-environment - Asia, domestic-Anseriformes - Asia",Asia,wild-Anseriformes,Asia,0.363851999999952,1,3,major,#f0ffff
8,12_3_1_1_2_1_1_4,H5N1/2023/R1_NAmerica,2.3.4.4b,32,"wild-Accipitriformes, wild-Passeriformes, wild-Anseriformes, wild-Falconiformes, wild-Strigiformes",wild-ave,"wild-Accipitriformes - North America, wild-Passeriformes - North America, wild-Anseriformes - North America, wild-Falconiformes - North America, wild-Strigiformes - North America",North America,wild-Accipitriformes,North America,0.276000000000067,1,1,major,#a4cc99
9,13_19_38_20_1_30_3_6,NA,2.3.2.1a,3,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0,1,1,major,#fffff0
10,13_5_10_7_1_13_29_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
11,13_5_10_7_1_13_3_6,NA,2.3.2.1a,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#fffff0
