"cluster_profile","cluster_label","clade","Num_Sequence","Range_of_Host","Range_of_HostType","Host_Range_Per_Continent","Continent_of_Earliest_Date","Host_of_Earliest_Sample_Date","Range_of_Continent","Range_of_subContinent","Length_Between_First_Last_Sample","number_Conti","number_hostType","group","col","col2","group2","max_distance_km","min_distance_km","avg_distance_km","check","host_richness","if_mammal","Kcluster"
"4_3_1_1_2_1_1_3","H5N1/2022/R7_NAmerica","2.3.4.4b",616,"Galliformes, Anseriformes, Mammal, Strigiformes, Charadriiformes, Falconiformes, Pelecaniformes, Accipitriformes, Passeriformes, Suliformes, unknown avian, Sphenisciformes","Galliformes, Anseriformes domestic, Mammal, Anseriformes wild, Avian other, Charadriiformes","Galliformes - North America, Anseriformes domestic - North America, Mammal - North America, Anseriformes wild - North America, Anseriformes wild - Asia, Avian other - North America, Charadriiformes - North America, Avian other - South America, Charadriiformes - South America, Mammal - South America, Galliformes - South America, Anseriformes domestic - South America, Anseriformes wild - South America, Charadriiformes - Antarctica","North America","Avian other","North America, Asia, South America, Antarctica","NorthernAmerica, EasternAsia, CentralAmerica, SouthernAmerica, Antarctica",1.69,4,6,"dominant","#469FB5","#a4cc99","dominant",19509.8503,26.13572823,4932.822048,"",12,1,"high"
"2_1_1_1_1_1_1_1","H5N1/2020/R1_Europe","2.3.4.4b",1958,"Anseriformes, Galliformes, Accipitriformes, Charadriiformes, Passeriformes, Falconiformes, Strigiformes, Mammal, Pelecaniformes, Ciconiiformes, Casuariiformes, Suliformes, Struthioniformes, Gruiformes, Psittaciformes, Procellariiformes, Sphenisciformes, unknown avian, environment, Apodiformes, Caprimulgidae","Anseriformes wild, Galliformes, Avian other, Charadriiformes, Anseriformes domestic, Mammal, environment","Anseriformes wild - Europe, Galliformes - Europe, Avian other - Europe, Charadriiformes - Europe, Anseriformes domestic - Europe, Mammal - Europe, Galliformes - Africa, Avian other - Africa, Anseriformes wild - North America, Avian other - Asia, Anseriformes wild - Asia, Galliformes - North America, Anseriformes domestic - North America, Avian other - North America, Mammal - Asia, Mammal - North America, Charadriiformes - Africa, Anseriformes domestic - Africa, Charadriiformes - North America, Anseriformes wild - Africa, Galliformes - Asia, Charadriiformes - Asia, environment - Asia, Anseriformes domestic - Asia","Europe","Anseriformes wild","Europe, Africa, North America, Asia","WesternEurope, SouthernEurope, NorthernEurope, EasternEurope, WesternAfrica, SouthernAfrica, NorthernAmerica, EasternAsia, NorthernAfrica, WesternAsia",3.448,4,7,"dominant","#3A9AB2","#cc6966","dominant",17113.79522,30.09713804,5733.19611,"",21,1,"high"
"3_2_3_1_3_2_1_2","H5N8/2019/R7_Africa","2.3.4.4b",1110,"Anseriformes, Galliformes, Falconiformes, Charadriiformes, Accipitriformes, Gruiformes, unknown avian, Suliformes, Strigiformes, Pelecaniformes, Mammal, Passeriformes, Ciconiiformes, Rheiformes, Podicipediformes, Columbiformes, environment","Anseriformes wild, Galliformes, Anseriformes domestic, Avian other, Charadriiformes, Mammal, environment","Anseriformes wild - Europe, Galliformes - Europe, Anseriformes wild - Asia, Anseriformes domestic - Asia, Galliformes - Asia, Anseriformes domestic - Europe, Avian other - Europe, Galliformes - Africa, Anseriformes domestic - Africa, Charadriiformes - Europe, Avian other - Asia, Mammal - Europe, Charadriiformes - Asia, environment - Asia, Avian other - Africa","Africa","Galliformes","Europe, Asia, Africa","WesternEurope, CentralAsia, WesternAsia, EasternAsia, EasternEurope, NorthernEurope, SouthernEurope, NorthernAfrica, WesternAfrica",3.022,3,7,"dominant","#3F9CB3","#ccbe99","dominant",13618.99507,3.660627206,4337.256694,"",17,1,"high"
"1_1_1_1_1_1_1_1","H5N1/2021/R3_Europe","2.3.4.4b",132,"Anseriformes, Galliformes, Charadriiformes, Ciconiiformes, Mammal, Falconiformes, environment, Pelecaniformes, unknown avian, Accipitriformes, Podicipediformes, Suliformes","Anseriformes wild, Anseriformes domestic, Galliformes, Charadriiformes, Avian other, Mammal, environment","Anseriformes wild - Europe, Anseriformes domestic - Asia, Anseriformes wild - Asia, Galliformes - Africa, Charadriiformes - Europe, Avian other - Europe, Avian other - Africa, Galliformes - Europe, Mammal - Asia, Avian other - Asia, Galliformes - Asia, environment - Asia, Anseriformes domestic - Europe, Anseriformes wild - North America, Charadriiformes - Asia","Africa","Galliformes","Europe, Asia, Africa, North America","WesternEurope, SouthernAsia, EasternAsia, SouthernAfrica, NorthernEurope, EasternEurope, NorthernAmerica",2.627,4,7,"dominant","#58A7BA","#7a66cc","dominant",13610.67527,53.22348942,5433.71109,"",12,1,"high"
"2_6_1_1_6_1_1_1","H5N1/2021/R4_Asia","2.3.4.4b",60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America","Asia","Anseriformes wild","Asia, Europe, North America","EasternAsia, SouthEasternAsia, EasternEurope, NorthernAmerica",1.148,3,5,"dominant","#6AAFBF","#ccae99","dominant",10590.8618,36.91447884,1839.102042,"",4,0,"middle"
"2_1_2_1_1_1_1_1","H5N1/2021/R8_Europe","2.3.4.4b",17,"Anseriformes, Accipitriformes, Pelecaniformes, Galliformes, Phoenicopteriformes, Charadriiformes, Suliformes","Anseriformes wild, Avian other, Galliformes, Charadriiformes","Anseriformes wild - Europe, Avian other - Europe, Galliformes - Asia, Charadriiformes - Europe, Galliformes - Europe","Europe","Anseriformes wild","Europe, Asia","WesternEurope, NorthernEurope, SouthernEurope, EasternAsia, EasternEurope",2.418,2,4,"dominant","#84B7BA","#cc99ac","dominant",9639.495706,76.79509699,2557.737577,"",7,0,"middle"
"2_1_6_1_1_4_1_1","H5N5/2021/R5_Europe","2.3.4.4b",54,"Charadriiformes, Pelecaniformes, Anseriformes, Accipitriformes, Suliformes, Passeriformes, Procellariiformes","Charadriiformes, Avian other, Anseriformes wild","Charadriiformes - Europe, Avian other - Europe, Anseriformes wild - Europe, Avian other - Asia","Europe","Anseriformes wild","Europe, Asia","EasternEurope, NorthernEurope, EasternAsia, WesternEurope",3.213,2,3,"dominant","#6FB2C0","#bbcc33","dominant",9578.558927,255.1179657,4947.217328,"",7,0,"middle"
"7_1_5_2_1_3_1_2","H5N8/2019/R3_Europe","2.3.4.4b",183,"Galliformes, Accipitriformes, Anseriformes, environment","Galliformes, Avian other, Anseriformes domestic, Anseriformes wild, environment","Galliformes - Europe, Avian other - Europe, Anseriformes domestic - Europe, Anseriformes wild - Asia, environment - Asia, Galliformes - Asia, Anseriformes wild - Europe, Anseriformes domestic - Asia","Europe","Galliformes","Europe, Asia","EasternEurope, WesternEurope, EasternAsia",0.975,2,5,"major","#53A5B9","#337fcc","dominant",9441.694355,65.65999338,5009.887477,"T- aprox 1 year",4,0,"middle"
"1_1_4_1_4_1_1_4","H5N1/2022/R12_Europe","2.3.4.4b",884,"Charadriiformes, Galliformes, Mammal, Falconiformes, Accipitriformes, Passeriformes, Anseriformes, Ciconiiformes, Strigiformes, Columbiformes, Podicipediformes, unknown avian, Suliformes, Pelecaniformes","Charadriiformes, Galliformes, Mammal, Avian other, Anseriformes wild, Anseriformes domestic","Charadriiformes - Europe, Galliformes - Europe, Mammal - Europe, Avian other - Europe, Anseriformes wild - Europe, Anseriformes domestic - Europe, Avian other - Africa","Europe","Charadriiformes","Europe, Africa","WesternEurope, NorthernEurope, SouthernEurope, EasternEurope, WesternAfrica",1.507,2,6,"dominant","#419DB4","#c4cc66","dominant",6679.80882,24.21758115,1233.132508,"",14,1,"high"
"5_1_1_1_2_1_1_3","H5N1/2022/R19_NAmerica","2.3.4.4b",49,"Galliformes, Pelecaniformes, Anseriformes, Rheiformes, Accipitriformes, unknown avian, Strigiformes","Galliformes, Avian other, Anseriformes domestic, Anseriformes wild","Galliformes - North America, Avian other - South America, Anseriformes domestic - North America, Avian other - North America, Anseriformes wild - North America","North America","Anseriformes wild","North America, South America","NorthernAmerica, SouthernAmerica",1.041,2,4,"dominant","#72B2BF","#7acc66","dominant",6180.673156,332.8833385,1781.561223,"",7,0,"middle"
