Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2019,Jan-Jun 2019,Africa,Egypt,"Ad Daqahliyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Ad Daqahliyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,1000,Animal,10,10,990,0,45914
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1;H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1;H5N8",Domestic,"Birds",-,-,-,56,Animal,11,48,0,8,89084
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,8,Animal,3,6,0,2,31669
2019,Jan-Jun 2019,Africa,Egypt,"Al Fayyum","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Fayyum","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,20,Animal,6,14,0,6,47935
2019,Jan-Jun 2019,Africa,Egypt,"Al Gharbiyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Gharbiyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,3000,Animal,280,2730,0,270,53938
2019,Jan-Jun 2019,Africa,Egypt,"Al Jizah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Jizah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,1700,Animal,143,929,0,126,101533
2019,Jan-Jun 2019,Africa,Egypt,"Al Minya","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
