primary_com_name,sci_name,order,family,class
common ostrich,struthio camelus,struthioniformes,struthionidae,Aves
somali ostrich,struthio molybdophanes,struthioniformes,struthionidae,Aves
common/somali ostrich,struthio camelus/molybdophanes,struthioniformes,struthionidae,Aves
greater rhea,rhea americana,rheiformes,rheidae,Aves
lesser rhea,rhea pennata,rheiformes,rheidae,Aves
tawny-breasted tinamou,nothocercus julius,tinamiformes,tinamidae,Aves
highland tinamou,nothocercus bonapartei,tinamiformes,tinamidae,Aves
hooded tinamou,nothocercus nigrocapillus,tinamiformes,tinamidae,Aves
grey tinamou,tinamus tao,tinamiformes,tinamidae,Aves
solitary tinamou,tinamus solitarius,tinamiformes,tinamidae,Aves
black tinamou,tinamus osgoodi,tinamiformes,tinamidae,Aves
great tinamou,tinamus major,tinamiformes,tinamidae,Aves
white-throated tinamou,tinamus guttatus,tinamiformes,tinamidae,Aves
tinamus sp.,tinamus sp.,tinamiformes,tinamidae,Aves
cinereous tinamou,crypturellus cinereus,tinamiformes,tinamidae,Aves
berlepsch's tinamou,crypturellus berlepschi,tinamiformes,tinamidae,Aves
little tinamou,crypturellus soui,tinamiformes,tinamidae,Aves
tepui tinamou,crypturellus ptaritepui,tinamiformes,tinamidae,Aves
brown tinamou,crypturellus obsoletus,tinamiformes,tinamidae,Aves
undulated tinamou,crypturellus undulatus,tinamiformes,tinamidae,Aves
pale-browed tinamou,crypturellus transfasciatus,tinamiformes,tinamidae,Aves
brazilian tinamou,crypturellus strigulosus,tinamiformes,tinamidae,Aves
grey-legged tinamou,crypturellus duidae,tinamiformes,tinamidae,Aves
red-legged tinamou,crypturellus erythropus,tinamiformes,tinamidae,Aves
yellow-legged tinamou,crypturellus noctivagus,tinamiformes,tinamidae,Aves
black-capped tinamou,crypturellus atrocapillus,tinamiformes,tinamidae,Aves
slaty-breasted tinamou,crypturellus boucardi,tinamiformes,tinamidae,Aves
choco tinamou,crypturellus kerriae,tinamiformes,tinamidae,Aves
variegated tinamou,crypturellus variegatus,tinamiformes,tinamidae,Aves
thicket tinamou,crypturellus cinnamomeus,tinamiformes,tinamidae,Aves
rusty tinamou,crypturellus brevirostris,tinamiformes,tinamidae,Aves
bartlett's tinamou,crypturellus bartletti,tinamiformes,tinamidae,Aves
small-billed tinamou,crypturellus parvirostris,tinamiformes,tinamidae,Aves
barred tinamou,crypturellus casiquiare,tinamiformes,tinamidae,Aves
tataupa tinamou,crypturellus tataupa,tinamiformes,tinamidae,Aves
crypturellus sp.,crypturellus sp.,tinamiformes,tinamidae,Aves
red-winged tinamou,rhynchotus rufescens,tinamiformes,tinamidae,Aves
huayco tinamou,rhynchotus maculicollis,tinamiformes,tinamidae,Aves
taczanowski's tinamou,nothoprocta taczanowskii,tinamiformes,tinamidae,Aves
ornate tinamou,nothoprocta ornata,tinamiformes,tinamidae,Aves
chilean tinamou,nothoprocta perdicaria,tinamiformes,tinamidae,Aves
brushland tinamou,nothoprocta cinerascens,tinamiformes,tinamidae,Aves
andean tinamou,nothoprocta pentlandii,tinamiformes,tinamidae,Aves
curve-billed tinamou,nothoprocta curvirostris,tinamiformes,tinamidae,Aves
nothoprocta sp.,nothoprocta sp.,tinamiformes,tinamidae,Aves
white-bellied nothura,nothura boraquira,tinamiformes,tinamidae,Aves
lesser nothura,nothura minor,tinamiformes,tinamidae,Aves
darwin's nothura,nothura darwinii,tinamiformes,tinamidae,Aves
spotted nothura,nothura maculosa,tinamiformes,tinamidae,Aves
white-bellied/spotted nothura,nothura boraquira/maculosa,tinamiformes,tinamidae,Aves
lesser/spotted nothura,nothura minor/maculosa,tinamiformes,tinamidae,Aves
dwarf tinamou,taoniscus nanus,tinamiformes,tinamidae,Aves
elegant crested-tinamou,eudromia elegans,tinamiformes,tinamidae,Aves
quebracho crested-tinamou,eudromia formosa,tinamiformes,tinamidae,Aves
puna tinamou,tinamotis pentlandii,tinamiformes,tinamidae,Aves
patagonian tinamou,tinamotis ingoufi,tinamiformes,tinamidae,Aves
tinamou sp.,tinamidae sp.,tinamiformes,tinamidae,Aves
southern cassowary,casuarius casuarius,casuariiformes,casuariidae,Aves
dwarf cassowary,casuarius bennetti,casuariiformes,casuariidae,Aves
northern cassowary,casuarius unappendiculatus,casuariiformes,casuariidae,Aves
emu,dromaius novaehollandiae,casuariiformes,casuariidae,Aves
southern brown kiwi,apteryx australis,apterygiformes,apterygidae,Aves
okarito brown kiwi,apteryx rowi,apterygiformes,apterygidae,Aves
north island brown kiwi,apteryx mantelli,apterygiformes,apterygidae,Aves
little spotted kiwi,apteryx owenii,apterygiformes,apterygidae,Aves
great spotted kiwi,apteryx haastii,apterygiformes,apterygidae,Aves
kiwi sp.,apteryx sp.,apterygiformes,apterygidae,Aves
horned screamer,anhima cornuta,anseriformes,anhimidae,Aves
southern screamer,chauna torquata,anseriformes,anhimidae,Aves
northern screamer,chauna chavaria,anseriformes,anhimidae,Aves
magpie goose,anseranas semipalmata,anseriformes,anseranatidae,Aves
spotted whistling-duck,dendrocygna guttata,anseriformes,anatidae,Aves
plumed whistling-duck,dendrocygna eytoni,anseriformes,anatidae,Aves
white-faced whistling-duck,dendrocygna viduata,anseriformes,anatidae,Aves
black-bellied whistling-duck,dendrocygna autumnalis,anseriformes,anatidae,Aves
west indian whistling-duck,dendrocygna arborea,anseriformes,anatidae,Aves
fulvous whistling-duck,dendrocygna bicolor,anseriformes,anatidae,Aves
wandering whistling-duck,dendrocygna arcuata,anseriformes,anatidae,Aves
plumed/wandering whistling-duck,dendrocygna eytoni/arcuata,anseriformes,anatidae,Aves
lesser whistling-duck,dendrocygna javanica,anseriformes,anatidae,Aves
fulvous/lesser whistling-duck,dendrocygna bicolor/javanica,anseriformes,anatidae,Aves
whistling-duck sp.,dendrocygna sp.,anseriformes,anatidae,Aves
white-backed duck,thalassornis leuconotus,anseriformes,anatidae,Aves
bar-headed goose,anser indicus,anseriformes,anatidae,Aves
emperor goose,anser canagicus,anseriformes,anatidae,Aves
snow goose,anser caerulescens,anseriformes,anatidae,Aves
ross's goose,anser rossii,anseriformes,anatidae,Aves
snow/ross's goose,anser caerulescens/rossii,anseriformes,anatidae,Aves
greylag goose,anser anser,anseriformes,anatidae,Aves
greylag goose (domestic type),anser anser (domestic type),anseriformes,anatidae,Aves
swan goose,anser cygnoides,anseriformes,anatidae,Aves
swan goose (domestic type),anser cygnoides (domestic type),anseriformes,anatidae,Aves
greater white-fronted goose,anser albifrons,anseriformes,anatidae,Aves
lesser white-fronted goose,anser erythropus,anseriformes,anatidae,Aves
greater/lesser white-fronted goose,anser albifrons/erythropus,anseriformes,anatidae,Aves
taiga bean-goose,anser fabalis,anseriformes,anatidae,Aves
tundra bean-goose,anser serrirostris,anseriformes,anatidae,Aves
taiga/tundra bean-goose,anser fabalis/serrirostris,anseriformes,anatidae,Aves
pink-footed goose,anser brachyrhynchus,anseriformes,anatidae,Aves
domestic goose sp. (domestic type),anser sp. (domestic type),anseriformes,anatidae,Aves
anser sp.,anser sp.,anseriformes,anatidae,Aves
brant,branta bernicla,anseriformes,anatidae,Aves
barnacle goose,branta leucopsis,anseriformes,anatidae,Aves
cackling goose,branta hutchinsii,anseriformes,anatidae,Aves
canada goose,branta canadensis,anseriformes,anatidae,Aves
cackling/canada goose,branta hutchinsii/canadensis,anseriformes,anatidae,Aves
hawaiian goose,branta sandvicensis,anseriformes,anatidae,Aves
red-breasted goose,branta ruficollis,anseriformes,anatidae,Aves
branta sp.,branta sp.,anseriformes,anatidae,Aves
cape barren goose,cereopsis novaehollandiae,anseriformes,anatidae,Aves
freckled duck,stictonetta naevosa,anseriformes,anatidae,Aves
blue-winged goose,cyanochen cyanoptera,anseriformes,anatidae,Aves
mute swan,cygnus olor,anseriformes,anatidae,Aves
black swan,cygnus atratus,anseriformes,anatidae,Aves
black-necked swan,cygnus melancoryphus,anseriformes,anatidae,Aves
trumpeter swan,cygnus buccinator,anseriformes,anatidae,Aves
tundra swan,cygnus columbianus,anseriformes,anatidae,Aves
trumpeter/tundra swan,cygnus buccinator/columbianus,anseriformes,anatidae,Aves
whooper swan,cygnus cygnus,anseriformes,anatidae,Aves
tundra/whooper swan,cygnus columbianus/cygnus,anseriformes,anatidae,Aves
swan sp.,cygnus sp.,anseriformes,anatidae,Aves
coscoroba swan,coscoroba coscoroba,anseriformes,anatidae,Aves
knob-billed duck,sarkidiornis melanotos,anseriformes,anatidae,Aves
comb duck,sarkidiornis sylvicola,anseriformes,anatidae,Aves
hartlaub's duck,pteronetta hartlaubii,anseriformes,anatidae,Aves
orinoco goose,oressochen jubatus,anseriformes,anatidae,Aves
andean goose,oressochen melanopterus,anseriformes,anatidae,Aves
upland goose,chloephaga picta,anseriformes,anatidae,Aves
kelp goose,chloephaga hybrida,anseriformes,anatidae,Aves
ashy-headed goose,chloephaga poliocephala,anseriformes,anatidae,Aves
ruddy-headed goose,chloephaga rubidiceps,anseriformes,anatidae,Aves
chloephaga sp.,chloephaga sp.,anseriformes,anatidae,Aves
goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves
radjah shelduck,radjah radjah,anseriformes,anatidae,Aves
egyptian goose,alopochen aegyptiaca,anseriformes,anatidae,Aves
mauritius shelduck,alopochen mauritiana,anseriformes,anatidae,Aves
reunion shelduck,alopochen kervazoi,anseriformes,anatidae,Aves
ruddy shelduck,tadorna ferruginea,anseriformes,anatidae,Aves
south african shelduck,tadorna cana,anseriformes,anatidae,Aves
australian shelduck,tadorna tadornoides,anseriformes,anatidae,Aves
paradise shelduck,tadorna variegata,anseriformes,anatidae,Aves
common shelduck,tadorna tadorna,anseriformes,anatidae,Aves
crested shelduck,tadorna cristata,anseriformes,anatidae,Aves
spur-winged goose,plectropterus gambensis,anseriformes,anatidae,Aves
flying steamer-duck,tachyeres patachonicus,anseriformes,anatidae,Aves
flightless steamer-duck,tachyeres pteneres,anseriformes,anatidae,Aves
falkland steamer-duck,tachyeres brachypterus,anseriformes,anatidae,Aves
white-headed steamer-duck,tachyeres leucocephalus,anseriformes,anatidae,Aves
steamer-duck sp.,tachyeres sp.,anseriformes,anatidae,Aves
crested duck,lophonetta specularioides,anseriformes,anatidae,Aves
spectacled duck,speculanas specularis,anseriformes,anatidae,Aves
muscovy duck,cairina moschata,anseriformes,anatidae,Aves
muscovy duck (domestic type),cairina moschata (domestic type),anseriformes,anatidae,Aves
green pygmy-goose,nettapus pulchellus,anseriformes,anatidae,Aves
