collection_regionname,collection_year,collection_month,collection_season,collection_quarter,collection_datemonth,woah_cases,woah_susceptibles,woah_deaths,n_sequences,n_reassortants,minor,dominant,major,joint_reassortant_class,previous_reassortant_class,collection_dec,time_since_last_dominant
africa,2019,1,overwintering,1,2019-01-01,23802,114113,11727,1,1,1,NA,NA,minor,minor,2019,NA
africa,2019,2,overwintering,1,2019-02-01,23802,114113,11727,19,2,2,NA,NA,minor,minor,2019.0849315068492,NA
africa,2019,3,migrating_spring,1,2019-03-01,23802,114113,11727,1,NA,NA,NA,NA,NA,NA,2019.1616438356164,NA
africa,2019,4,migrating_spring,2,2019-04-01,23802,114113,11727,2,NA,NA,NA,NA,NA,NA,2019.2465753424658,NA
africa,2019,5,migrating_spring,2,2019-05-01,23802,114113,11727,NA,NA,NA,NA,NA,NA,NA,2019.3287671232877,NA
africa,2019,6,breeding,2,2019-06-01,23802,114113,11727,2,NA,NA,NA,NA,NA,NA,2019.4136986301369,NA
asia,2019,1,overwintering,1,2019-01-01,171235,818468,85593,NA,NA,NA,NA,NA,NA,NA,2019,NA
asia,2019,2,overwintering,1,2019-02-01,171235,818468,85593,NA,NA,NA,NA,NA,NA,NA,2019.0849315068492,NA
asia,2019,3,migrating_spring,1,2019-03-01,171235,818468,85593,1,NA,NA,NA,NA,NA,NA,2019.1616438356164,NA
asia,2019,4,migrating_spring,2,2019-04-01,171235,818468,85593,NA,NA,NA,NA,NA,NA,NA,2019.2465753424658,NA
asia,2019,5,migrating_spring,2,2019-05-01,171235,818468,85593,NA,NA,NA,NA,NA,NA,NA,2019.3287671232877,NA
asia,2019,6,breeding,2,2019-06-01,171235,818468,85593,NA,NA,NA,NA,NA,NA,NA,2019.4136986301369,NA
europe,2019,1,overwintering,1,2019-01-01,12215,241775,12175,1,NA,NA,NA,NA,NA,NA,2019,NA
europe,2019,2,overwintering,1,2019-02-01,12215,241775,12175,NA,NA,NA,NA,NA,NA,NA,2019.0849315068492,NA
europe,2019,3,migrating_spring,1,2019-03-01,12215,241775,12175,2,NA,NA,NA,NA,NA,NA,2019.1616438356164,NA
europe,2019,4,migrating_spring,2,2019-04-01,12215,241775,12175,4,NA,NA,NA,NA,NA,NA,2019.2465753424658,NA
europe,2019,5,migrating_spring,2,2019-05-01,12215,241775,12175,NA,NA,NA,NA,NA,NA,NA,2019.3287671232877,NA
europe,2019,6,breeding,2,2019-06-01,12215,241775,12175,NA,NA,NA,NA,NA,NA,NA,2019.4136986301369,NA
africa,2019,7,breeding,3,2019-07-01,2543,72005,2389,1,NA,NA,NA,NA,NA,NA,2019.495890410959,NA
africa,2019,8,breeding,3,2019-08-01,2543,72005,2389,NA,NA,NA,NA,NA,NA,NA,2019.5808219178082,NA
africa,2019,9,migrating_autumn,3,2019-09-01,2543,72005,2389,NA,NA,NA,NA,NA,NA,NA,2019.6657534246576,NA
africa,2019,10,migrating_autumn,4,2019-10-01,2543,72005,2389,NA,NA,NA,NA,NA,NA,NA,2019.7479452054795,NA
africa,2019,11,migrating_autumn,4,2019-11-01,2543,72005,2389,NA,NA,NA,NA,NA,NA,NA,2019.8328767123287,NA
africa,2019,12,overwintering,4,2019-12-01,2543,72005,2389,NA,NA,NA,NA,NA,NA,NA,2019.9150684931508,NA
asia,2019,7,breeding,3,2019-07-01,62739,617892,57008,NA,NA,NA,NA,NA,NA,NA,2019.495890410959,NA
