sci_name,class,order,family,primary_com_name
pongo abelii,mammalia,primates,hominidae,sumatran orangutan
mus baoulei,mammalia,rodentia,muridae,baoule's mouse
dipodillus dasyurus,mammalia,rodentia,muridae,wagner's dipodil
reithrodontomys gracilis,mammalia,rodentia,cricetidae,slender harvest mouse
rhogeessa tumida,mammalia,chiroptera,vespertilionidae,black-winged little yellow bat
glischropus javanus,mammalia,chiroptera,vespertilionidae,javan thick-thumbed bat
trichosurus cunninghami,mammalia,diprotodontia,phalangeridae,mountain brushtail possum
mops petersoni,mammalia,chiroptera,molossidae,peterson's free-tailed bat
gardnerycteris keenani,mammalia,chiroptera,phyllostomidae,keenan's hairy-nosed bat
phalanger lullulae,mammalia,diprotodontia,phalangeridae,woodlark cuscus
acomys russatus,mammalia,rodentia,muridae,golden spiny mouse
sciurus spadiceus,mammalia,rodentia,sciuridae,southern amazon red squirrel
leptonycteris nivalis,mammalia,chiroptera,phyllostomidae,greater long-nosed bat
dasypterus xanthinus,mammalia,chiroptera,vespertilionidae,western yellow bat
neoromicia somalica,mammalia,chiroptera,vespertilionidae,somali serotine
mus triton,mammalia,rodentia,muridae,gray-bellied mouse
neoromicia anchietae,mammalia,chiroptera,vespertilionidae,anchieta's pipistrelle
scotomanes ornatus,mammalia,chiroptera,vespertilionidae,harlequin bat
microtus montanus,mammalia,rodentia,cricetidae,montane vole
tamias sonomae,mammalia,rodentia,sciuridae,sonoma chipmunk
akodon siberiae,mammalia,rodentia,cricetidae,cochabamba akodont
nycticeinops macrocephalus,mammalia,chiroptera,vespertilionidae,large headed pipistrelle
sturnira bogotensis,mammalia,chiroptera,phyllostomidae,bogota yellow-shouldered bat
gerbillus vivax,mammalia,rodentia,muridae,vivacious gerbil
gerbilliscus nigricaudus,mammalia,rodentia,muridae,black-tailed gerbil
myotis clydejonesi,mammalia,chiroptera,vespertilionidae,clyde jones's myotis
myotis browni,mammalia,chiroptera,vespertilionidae,brown's whiskered myotis
micronycteris brosseti,mammalia,chiroptera,phyllostomidae,brosset's big-eared bat
sigmodon mascotensis,mammalia,rodentia,cricetidae,jaliscan cotton rat
allactaga hotsoni,mammalia,rodentia,dipodidae,hotson's five-toed jerboa
neotoma floridana,mammalia,rodentia,cricetidae,eastern woodrat
myotis emarginatus,mammalia,chiroptera,vespertilionidae,geoffroy's myotis
reithrodontomys chrysopsis,mammalia,rodentia,cricetidae,volcano harvest mouse
glauconycteris atra,mammalia,chiroptera,vespertilionidae,blackish butterfly bat
