"continent","start_point","end_point","diversity"
"Asia",2020,2021,1.54703317930654
"Africa",2020,2021,1.29477519178842
"Europe",2020,2021,1.25637803346825
"North America",2020,2021,NA
"South America",2020,2021,NA
"Antarctica",2020,2021,NA
"Asia",2020.1,2021.1,1.59187071667935
"Africa",2020.1,2021.1,1.41728886491849
"Europe",2020.1,2021.1,1.28937176636504
"North America",2020.1,2021.1,NA
"South America",2020.1,2021.1,NA
"Antarctica",2020.1,2021.1,NA
"Asia",2020.2,2021.2,1.51405207862573
"Africa",2020.2,2021.2,1.36111670745861
"Europe",2020.2,2021.2,1.21600312960276
"North America",2020.2,2021.2,NA
"South America",2020.2,2021.2,NA
"Antarctica",2020.2,2021.2,NA
"Asia",2020.3,2021.3,1.45193224951455
"Africa",2020.3,2021.3,1.29769764115835
"Europe",2020.3,2021.3,1.18382708308655
"North America",2020.3,2021.3,NA
"South America",2020.3,2021.3,NA
"Antarctica",2020.3,2021.3,NA
"Asia",2020.4,2021.4,1.36071938909998
"Africa",2020.4,2021.4,1.11346186670174
"Europe",2020.4,2021.4,1.13841894380857
"North America",2020.4,2021.4,NA
"South America",2020.4,2021.4,NA
"Antarctica",2020.4,2021.4,NA
"Asia",2020.5,2021.5,1.35903066167113
"Africa",2020.5,2021.5,1.15528547235085
"Europe",2020.5,2021.5,1.18131034801748
"North America",2020.5,2021.5,NA
"South America",2020.5,2021.5,NA
"Antarctica",2020.5,2021.5,NA
"Asia",2020.6,2021.6,1.34295979045847
"Africa",2020.6,2021.6,1.19438619101469
"Europe",2020.6,2021.6,1.15333847636294
"North America",2020.6,2021.6,NA
"South America",2020.6,2021.6,NA
"Antarctica",2020.6,2021.6,NA
"Asia",2020.7,2021.7,1.36057583338374
"Africa",2020.7,2021.7,1.24212811832916
"Europe",2020.7,2021.7,1.19905809280465
"North America",2020.7,2021.7,NA
"South America",2020.7,2021.7,NA
"Antarctica",2020.7,2021.7,NA
"Asia",2020.8,2021.8,1.45639493002076
"Africa",2020.8,2021.8,1.08803314485143
"Europe",2020.8,2021.8,1.14494225065729
"North America",2020.8,2021.8,NA
"South America",2020.8,2021.8,NA
"Antarctica",2020.8,2021.8,NA
"Asia",2020.9,2021.9,1.49411119738067
"Africa",2020.9,2021.9,1.08692687253289
"Europe",2020.9,2021.9,1.21653997934383
"North America",2020.9,2021.9,1
"South America",2020.9,2021.9,NA
"Antarctica",2020.9,2021.9,NA
"Asia",2021,2022,1.49185227288965
"Africa",2021,2022,1.16140068921862
"Europe",2021,2022,1.41013490445885
"North America",2021,2022,1
"South America",2021,2022,NA
"Antarctica",2021,2022,NA
"Asia",2021.1,2022.1,1.47623950652727
"Africa",2021.1,2022.1,1.08361887985523
"Europe",2021.1,2022.1,1.3370145702008
"North America",2021.1,2022.1,1.10606949881298
"South America",2021.1,2022.1,NA
"Antarctica",2021.1,2022.1,NA
"Asia",2021.2,2022.2,1.36003181616198
"Africa",2021.2,2022.2,1.14317447749503
"Europe",2021.2,2022.2,1.3499274899546
"North America",2021.2,2022.2,1.22823844858551
"South America",2021.2,2022.2,NA
"Antarctica",2021.2,2022.2,NA
"Asia",2021.3,2022.3,1.43997000235786
"Africa",2021.3,2022.3,1.18190937535511
"Europe",2021.3,2022.3,1.31703167768624
"North America",2021.3,2022.3,1.51749626874914
"South America",2021.3,2022.3,NA
"Antarctica",2021.3,2022.3,NA
"Asia",2021.4,2022.4,1.52175133564205
"Africa",2021.4,2022.4,1.20157041331907
"Europe",2021.4,2022.4,1.33492460029939
"North America",2021.4,2022.4,1.51921031532071
"South America",2021.4,2022.4,NA
"Antarctica",2021.4,2022.4,NA
"Asia",2021.5,2022.5,1.50321186926381
"Africa",2021.5,2022.5,1.21717026964738
"Europe",2021.5,2022.5,1.33264529434231
"North America",2021.5,2022.5,1.54138389085624
"South America",2021.5,2022.5,NA
"Antarctica",2021.5,2022.5,NA
"Asia",2021.6,2022.6,1.50663897749984
"Africa",2021.6,2022.6,1.11606507139393
"Europe",2021.6,2022.6,1.33991679594155
"North America",2021.6,2022.6,1.51530233746724
"South America",2021.6,2022.6,NA
"Antarctica",2021.6,2022.6,NA
"Asia",2021.7,2022.7,1.6051588289789
"Africa",2021.7,2022.7,1.16711905887727
"Europe",2021.7,2022.7,1.3678499127651
"North America",2021.7,2022.7,1.50185381329806
"South America",2021.7,2022.7,NA
"Antarctica",2021.7,2022.7,NA
"Asia",2021.8,2022.8,1.66876490222205
"Africa",2021.8,2022.8,1.19019127128838
"Europe",2021.8,2022.8,1.35565367606458
"North America",2021.8,2022.8,1.49317761100702
"South America",2021.8,2022.8,0.999999999999999
"Antarctica",2021.8,2022.8,NA
"Asia",2021.9,2022.9,1.6466857619011
"Africa",2021.9,2022.9,1.19817047952429
"Europe",2021.9,2022.9,1.38515623855104
"North America",2021.9,2022.9,1.54404066149374
"South America",2021.9,2022.9,1.08319894197468
"Antarctica",2021.9,2022.9,NA
"Asia",2022,2023,1.36610278699483
"Africa",2022,2023,1.19042131897725
"Europe",2022,2023,1.26171074402111
"North America",2022,2023,1.52567560157555
"South America",2022,2023,1.03267864235598
"Antarctica",2022,2023,NA
"Asia",2022.1,2023.1,1.33055022200911
"Africa",2022.1,2023.1,1.38644861662783
"Europe",2022.1,2023.1,1.19724960794818
"North America",2022.1,2023.1,1.53071155423679
"South America",2022.1,2023.1,1.0298076533594
"Antarctica",2022.1,2023.1,NA
"Asia",2022.2,2023.2,1.43358654330297
"Africa",2022.2,2023.2,1.28193564112184
"Europe",2022.2,2023.2,1.353942766947
"North America",2022.2,2023.2,1.31196393175392
"South America",2022.2,2023.2,1.02002479860445
"Antarctica",2022.2,2023.2,NA
"Asia",2022.3,2023.3,1.33344895336733
"Africa",2022.3,2023.3,1.2583645102559
"Europe",2022.3,2023.3,1.25985171872137
"North America",2022.3,2023.3,1.45348949741488
"South America",2022.3,2023.3,1.02726735530241
"Antarctica",2022.3,2023.3,NA
"Asia",2022.4,2023.4,1.30489934990121
"Africa",2022.4,2023.4,1.24164497027787
"Europe",2022.4,2023.4,1.26290624034238
"North America",2022.4,2023.4,1.44550555423277
"South America",2022.4,2023.4,1.02305921682045
"Antarctica",2022.4,2023.4,NA
