"continent","start_point","end_point","diversity"
"Asia",2020,2021,4.77269956190337
"Africa",2020,2021,1.75476535060332
"Europe",2020,2021,2.65442949688587
"North America",2020,2021,NA
"South America",2020,2021,NA
"Antarctica",2020,2021,NA
"Asia",2020.1,2021.1,4.5927694768987
"Africa",2020.1,2021.1,2.36308337479987
"Europe",2020.1,2021.1,2.76010768027108
"North America",2020.1,2021.1,NA
"South America",2020.1,2021.1,NA
"Antarctica",2020.1,2021.1,NA
"Asia",2020.2,2021.2,4.75826350268913
"Africa",2020.2,2021.2,2.30842430350181
"Europe",2020.2,2021.2,2.88333070722013
"North America",2020.2,2021.2,NA
"South America",2020.2,2021.2,NA
"Antarctica",2020.2,2021.2,NA
"Asia",2020.3,2021.3,4.73990182929155
"Africa",2020.3,2021.3,1.90311411625558
"Europe",2020.3,2021.3,2.65949777501632
"North America",2020.3,2021.3,NA
"South America",2020.3,2021.3,NA
"Antarctica",2020.3,2021.3,NA
"Asia",2020.4,2021.4,4.7617205025447
"Africa",2020.4,2021.4,1.64117316870686
"Europe",2020.4,2021.4,2.55483182687642
"North America",2020.4,2021.4,NA
"South America",2020.4,2021.4,NA
"Antarctica",2020.4,2021.4,NA
"Asia",2020.5,2021.5,4.75432759637457
"Africa",2020.5,2021.5,1.60552633067449
"Europe",2020.5,2021.5,2.51210620352518
"North America",2020.5,2021.5,NA
"South America",2020.5,2021.5,NA
"Antarctica",2020.5,2021.5,NA
"Asia",2020.6,2021.6,4.8373734298346
"Africa",2020.6,2021.6,2.09653359423059
"Europe",2020.6,2021.6,2.56263343295967
"North America",2020.6,2021.6,NA
"South America",2020.6,2021.6,NA
"Antarctica",2020.6,2021.6,NA
"Asia",2020.7,2021.7,4.8500379348898
"Africa",2020.7,2021.7,2.10796368364371
"Europe",2020.7,2021.7,2.60157536352052
"North America",2020.7,2021.7,NA
"South America",2020.7,2021.7,NA
"Antarctica",2020.7,2021.7,NA
"Asia",2020.8,2021.8,5.7452178160387
"Africa",2020.8,2021.8,2.02968059320947
"Europe",2020.8,2021.8,2.8746297964821
"North America",2020.8,2021.8,NA
"South America",2020.8,2021.8,NA
"Antarctica",2020.8,2021.8,NA
"Asia",2020.9,2021.9,7.4106750697992
"Africa",2020.9,2021.9,2.03156961323313
"Europe",2020.9,2021.9,4.31148136671089
"North America",2020.9,2021.9,1
"South America",2020.9,2021.9,NA
"Antarctica",2020.9,2021.9,NA
"Asia",2021,2022,7.12756044521542
"Africa",2021,2022,2.27793768261882
"Europe",2021,2022,4.20290428369653
"North America",2021,2022,1
"South America",2021,2022,NA
"Antarctica",2021,2022,NA
"Asia",2021.1,2022.1,10.6315800828366
"Africa",2021.1,2022.1,2.00998075167169
"Europe",2021.1,2022.1,4.09963152111802
"North America",2021.1,2022.1,1.57184851469326
"South America",2021.1,2022.1,NA
"Antarctica",2021.1,2022.1,NA
"Asia",2021.2,2022.2,9.4069985433005
"Africa",2021.2,2022.2,1.73906743731415
"Europe",2021.2,2022.2,3.6654500234203
"North America",2021.2,2022.2,2.9595812911049
"South America",2021.2,2022.2,NA
"Antarctica",2021.2,2022.2,NA
"Asia",2021.3,2022.3,9.40141199634099
"Africa",2021.3,2022.3,1.9836806292124
"Europe",2021.3,2022.3,3.30984574917695
"North America",2021.3,2022.3,5.19491331924293
"South America",2021.3,2022.3,NA
"Antarctica",2021.3,2022.3,NA
"Asia",2021.4,2022.4,9.01652748011319
"Africa",2021.4,2022.4,2.11640964240324
"Europe",2021.4,2022.4,3.27020604727307
"North America",2021.4,2022.4,5.77443120217289
"South America",2021.4,2022.4,NA
"Antarctica",2021.4,2022.4,NA
"Asia",2021.5,2022.5,8.77778298026215
"Africa",2021.5,2022.5,2.23829221563439
"Europe",2021.5,2022.5,3.42195486218661
"North America",2021.5,2022.5,5.76780039369164
"South America",2021.5,2022.5,NA
"Antarctica",2021.5,2022.5,NA
"Asia",2021.6,2022.6,8.76314253919383
"Africa",2021.6,2022.6,1.95244659869209
"Europe",2021.6,2022.6,3.43579644001364
"North America",2021.6,2022.6,5.77984752305756
"South America",2021.6,2022.6,NA
"Antarctica",2021.6,2022.6,NA
"Asia",2021.7,2022.7,8.76314253919383
"Africa",2021.7,2022.7,1.89155055710898
"Europe",2021.7,2022.7,3.45205105305684
"North America",2021.7,2022.7,5.94568235578687
"South America",2021.7,2022.7,NA
"Antarctica",2021.7,2022.7,NA
"Asia",2021.8,2022.8,8.15360656533415
"Africa",2021.8,2022.8,1.96965984577962
"Europe",2021.8,2022.8,3.42048113472528
"North America",2021.8,2022.8,6.34137684419756
"South America",2021.8,2022.8,0.999999999999999
"Antarctica",2021.8,2022.8,NA
"Asia",2021.9,2022.9,11.7780146257808
"Africa",2021.9,2022.9,1.97482790487548
"Europe",2021.9,2022.9,3.6201300582609
"North America",2021.9,2022.9,6.78705814459985
"South America",2021.9,2022.9,1.67503845144941
"Antarctica",2021.9,2022.9,NA
"Asia",2022,2023,9.85449784756607
"Africa",2022,2023,2.18891708815217
"Europe",2022,2023,3.17673777746136
"North America",2022,2023,6.92853617623027
"South America",2022,2023,1.33607543717172
"Antarctica",2022,2023,NA
"Asia",2022.1,2023.1,9.11877438836382
"Africa",2022.1,2023.1,3.28332625179094
"Europe",2022.1,2023.1,2.70321623284672
"North America",2022.1,2023.1,7.04651345819423
"South America",2022.1,2023.1,1.28203814370295
"Antarctica",2022.1,2023.1,NA
"Asia",2022.2,2023.2,8.41118303493865
"Africa",2022.2,2023.2,3.50430491691107
"Europe",2022.2,2023.2,2.7290193480658
"North America",2022.2,2023.2,7.47069054372353
"South America",2022.2,2023.2,1.16731778583118
"Antarctica",2022.2,2023.2,NA
"Asia",2022.3,2023.3,8.12666202955202
"Africa",2022.3,2023.3,4.0618452112947
"Europe",2022.3,2023.3,2.79732065251298
"North America",2022.3,2023.3,8.43571594142971
"South America",2022.3,2023.3,1.14145126358893
"Antarctica",2022.3,2023.3,NA
"Asia",2022.4,2023.4,8.2052864672489
"Africa",2022.4,2023.4,4.08952288548172
"Europe",2022.4,2023.4,2.91209426340554
"North America",2022.4,2023.4,7.99370513551029
"South America",2022.4,2023.4,1.13349074752032
"Antarctica",2022.4,2023.4,NA
"Asia",2022.5,2023.5,7.92308134509126
"Africa",2022.5,2023.5,4.13240297377621
"Europe",2022.5,2023.5,2.93744105605651
"North America",2022.5,2023.5,7.83119244496953
"South America",2022.5,2023.5,1.13018304108399
"Antarctica",2022.5,2023.5,NA
"Asia",2022.6,2023.6,7.25799778146309
"Africa",2022.6,2023.6,4.14685376556637
"Europe",2022.6,2023.6,3.0154458183119
"North America",2022.6,2023.6,7.50790978678736
"South America",2022.6,2023.6,1.12766163666013
"Antarctica",2022.6,2023.6,NA
"Asia",2022.7,2023.7,7.34284536135606
"Africa",2022.7,2023.7,4.14685376556637
"Europe",2022.7,2023.7,3.11999132573223
"North America",2022.7,2023.7,7.13549241601186
"South America",2022.7,2023.7,1.12644008811052
"Antarctica",2022.7,2023.7,NA
"Asia",2022.8,2023.8,6.96309167432531
"Africa",2022.8,2023.8,3.60382549589819
"Europe",2022.8,2023.8,3.12753980995738
"North America",2022.8,2023.8,9.02831213902992
"South America",2022.8,2023.8,1.100070914206
"Antarctica",2022.8,2023.8,1
"Asia",2022.9,2023.9,6.35598207015391
"Africa",2022.9,2023.9,2.80221170254463
"Europe",2022.9,2023.9,3.40283590659076
"North America",2022.9,2023.9,8.4197502736677
"South America",2022.9,2023.9,1
"Antarctica",2022.9,2023.9,1
"Asia",2023,2024,5.19919436593604
"Africa",2023,2024,2.77897749033688
"Europe",2023,2024,3.84150836749517
"North America",2023,2024,7.95048567386566
"South America",2023,2024,1
"Antarctica",2023,2024,1
"Asia",2023.1,2024.1,5.28301376329926
"Africa",2023.1,2024.1,2.79598332180171
"Europe",2023.1,2024.1,4.49573866540483
"North America",2023.1,2024.1,7.99516488815951
"South America",2023.1,2024.1,1
"Antarctica",2023.1,2024.1,1
"Asia",2023.2,2024.2,4.0752752958009
"Africa",2023.2,2024.2,1.5691925832142
"Europe",2023.2,2024.2,5.22534284384634
"North America",2023.2,2024.2,6.84171257428507
"South America",2023.2,2024.2,1
"Antarctica",2023.2,2024.2,1
"Asia",2023.3,2024.3,3.68443303169575
"Africa",2023.3,2024.3,1
"Europe",2023.3,2024.3,5.65375835798523
"North America",2023.3,2024.3,6.12057858414907
"South America",2023.3,2024.3,1
"Antarctica",2023.3,2024.3,1
"Asia",2023.4,2024.4,3.5681310776414
"Africa",2023.4,2024.4,1
"Europe",2023.4,2024.4,6.54581830638137
"North America",2023.4,2024.4,5.41053190999293
"South America",2023.4,2024.4,1
"Antarctica",2023.4,2024.4,1
"Asia",2023.5,2024.5,3.42584826595492
"Africa",2023.5,2024.5,1
"Europe",2023.5,2024.5,7.74364292560517
"North America",2023.5,2024.5,5.35802815744408
"South America",2023.5,2024.5,1
"Antarctica",2023.5,2024.5,1
