"continent","start_point","random","end_point","diversity"
"Asia",2020,1,2021,1.62603981008499
"Africa",2020,1,2021,1.14331407131222
"Europe",2020,1,2021,1.3364887265132
"North America",2020,1,2021,NA
"Asia",2020.1,1,2021.1,1.58832082691583
"Africa",2020.1,1,2021.1,1.36786950128694
"Europe",2020.1,1,2021.1,1.25714917837044
"North America",2020.1,1,2021.1,NA
"Asia",2020.2,1,2021.2,1.42905072383063
"Africa",2020.2,1,2021.2,1.23663838326901
"Europe",2020.2,1,2021.2,1.18257580855423
"North America",2020.2,1,2021.2,NA
"Asia",2020.3,1,2021.3,1.36600099016601
"Africa",2020.3,1,2021.3,1.21057512383426
"Europe",2020.3,1,2021.3,1.15703795136208
"North America",2020.3,1,2021.3,NA
"Asia",2020.4,1,2021.4,1.3591183515624
"Africa",2020.4,1,2021.4,1.14379811317552
"Europe",2020.4,1,2021.4,1.14606351254489
"North America",2020.4,1,2021.4,NA
"Asia",2020.5,1,2021.5,1.46029319772045
"Africa",2020.5,1,2021.5,1.09919320412472
"Europe",2020.5,1,2021.5,1.16379857777676
"North America",2020.5,1,2021.5,NA
"Asia",2020.6,1,2021.6,1.46434585034173
"Africa",2020.6,1,2021.6,1.1857426836972
"Europe",2020.6,1,2021.6,1.16158872780526
"North America",2020.6,1,2021.6,NA
"Asia",2020.7,1,2021.7,1.36000208325108
"Africa",2020.7,1,2021.7,1.12744496333449
"Europe",2020.7,1,2021.7,1.08032477685192
"North America",2020.7,1,2021.7,NA
"Asia",2020.8,1,2021.8,1.42928684666384
"Africa",2020.8,1,2021.8,1.23873870533631
"Europe",2020.8,1,2021.8,1.13568429960006
"North America",2020.8,1,2021.8,NA
"Asia",2020.9,1,2021.9,1.50804826866439
"Africa",2020.9,1,2021.9,1.22372347549842
"Europe",2020.9,1,2021.9,1.21026892422755
"North America",2020.9,1,2021.9,NA
"Asia",2021,1,2022,1.37578777628061
"Africa",2021,1,2022,1.14247851383462
"Europe",2021,1,2022,1.35648381732839
"North America",2021,1,2022,NA
"Asia",2021.1,1,2022.1,1.68032634478659
"Africa",2021.1,1,2022.1,1.18853448317834
"Europe",2021.1,1,2022.1,1.38387196828224
"North America",2021.1,1,2022.1,1.08866316279123
"Asia",2021.2,1,2022.2,1.72020643477753
"Africa",2021.2,1,2022.2,1.16197329962499
"Europe",2021.2,1,2022.2,1.30583914703903
"North America",2021.2,1,2022.2,1.34658914627544
"Asia",2021.3,1,2022.3,1.59483912272529
"Africa",2021.3,1,2022.3,1.22292802291419
"Europe",2021.3,1,2022.3,1.28734321917198
"North America",2021.3,1,2022.3,1.55848409169964
