"continent","start_point","random","end_point","diversity"
"Asia",2020,1,2021,3.31740065459889
"Africa",2020,1,2021,1.75476535060332
"Europe",2020,1,2021,2.45357603330101
"North America",2020,1,2021,NA
"Asia",2020.1,1,2021.1,3.73786425269848
"Africa",2020.1,1,2021.1,2.36308337479987
"Europe",2020.1,1,2021.1,2.18033520171667
"North America",2020.1,1,2021.1,NA
"Asia",2020.2,1,2021.2,4.17821599142965
"Africa",2020.2,1,2021.2,2.3084243035018
"Europe",2020.2,1,2021.2,2.33080610355451
"North America",2020.2,1,2021.2,NA
"Asia",2020.3,1,2021.3,4.09993570613561
"Africa",2020.3,1,2021.3,1.90311411625558
"Europe",2020.3,1,2021.3,2.22057144324686
"North America",2020.3,1,2021.3,NA
"Asia",2020.4,1,2021.4,4.02421056641273
"Africa",2020.4,1,2021.4,1.64117316870686
"Europe",2020.4,1,2021.4,2.05657993547235
"North America",2020.4,1,2021.4,NA
"Asia",2020.5,1,2021.5,3.98732020711415
"Africa",2020.5,1,2021.5,1.60552633067449
"Europe",2020.5,1,2021.5,2.09006400760341
"North America",2020.5,1,2021.5,NA
"Asia",2020.6,1,2021.6,4.02421056641273
"Africa",2020.6,1,2021.6,2.09653359423059
"Europe",2020.6,1,2021.6,2.07416940744231
"North America",2020.6,1,2021.6,NA
"Asia",2020.7,1,2021.7,4.0617501816691
"Africa",2020.7,1,2021.7,2.10796368364371
"Europe",2020.7,1,2021.7,1.98348928595933
"North America",2020.7,1,2021.7,NA
"Asia",2020.8,1,2021.8,4.37316228758412
"Africa",2020.8,1,2021.8,2.02968059320947
"Europe",2020.8,1,2021.8,2.41573016602114
"North America",2020.8,1,2021.8,NA
"Asia",2020.9,1,2021.9,5.78128489836796
"Africa",2020.9,1,2021.9,2.03156961323313
"Europe",2020.9,1,2021.9,3.24869965859991
"North America",2020.9,1,2021.9,NA
"Asia",2021,1,2022,6.90737216343348
"Africa",2021,1,2022,2.27793768261882
"Europe",2021,1,2022,3.14135394535489
"North America",2021,1,2022,NA
"Asia",2021.1,1,2022.1,8.89445940690523
"Africa",2021.1,1,2022.1,2.00998075167169
"Europe",2021.1,1,2022.1,3.19306145811788
"North America",2021.1,1,2022.1,1.26338125030273
"Asia",2021.2,1,2022.2,8.49206984466428
"Africa",2021.2,1,2022.2,1.73906743731415
"Europe",2021.2,1,2022.2,3.08526526629597
"North America",2021.2,1,2022.2,2.56845433351133
"Asia",2021.3,1,2022.3,8.51706285987464
"Africa",2021.3,1,2022.3,1.9836806292124
"Europe",2021.3,1,2022.3,2.72273453872812
"North America",2021.3,1,2022.3,4.6038373761902
"Asia",2021.4,1,2022.4,8.20526710177182
"Africa",2021.4,1,2022.4,2.11640964240324
"Europe",2021.4,1,2022.4,2.46994299883341
"North America",2021.4,1,2022.4,5.17848620052092
"Asia",2021.5,1,2022.5,7.53397472126698
"Africa",2021.5,1,2022.5,2.23829221563439
"Europe",2021.5,1,2022.5,2.89531147848604
"North America",2021.5,1,2022.5,5.10167927480358
"Asia",2021.6,1,2022.6,7.06065441648775
"Africa",2021.6,1,2022.6,1.95244659869209
"Europe",2021.6,1,2022.6,2.84777632310567
"North America",2021.6,1,2022.6,5.15480380735156
"Asia",2021.7,1,2022.7,7.06065441648775
"Africa",2021.7,1,2022.7,1.89155055710898
"Europe",2021.7,1,2022.7,2.92731939149368
"North America",2021.7,1,2022.7,5.28811052242995
"Asia",2021.8,1,2022.8,6.46980132821537
"Africa",2021.8,1,2022.8,1.96965984577962
"Europe",2021.8,1,2022.8,3.04712344507146
"North America",2021.8,1,2022.8,5.83397218747519
"Asia",2021.9,1,2022.9,7.31636714543011
"Africa",2021.9,1,2022.9,1.97482790487548
"Europe",2021.9,1,2022.9,3.43211738993692
"North America",2021.9,1,2022.9,6.58561378211747
"Asia",2022,1,2023,5.89397778670133
"Africa",2022,1,2023,2.18891708815217
"Europe",2022,1,2023,3.26065040974428
